depth,dc_ecm
113.01,41.216
113.02,39.346
113.03,37.269
113.04,36.483
113.05,35.615
113.06,35.676
113.07,35.998
113.08,36.894
113.09,36.817
113.1,37.259
113.11,37.933
113.12,38.028
113.13,37.081
113.14,37.737
113.15,40.404
113.16,40.235
113.17,38.391
113.18,37.102
113.19,36.368
113.2,36.186
113.21,37.904
113.22,38.101
113.23,37.849
113.24,37.706
113.25,36.576
113.31,36.436
113.32,36.631
113.33,36.1
113.34,36.41
113.35,37.273
113.36,38.41
113.37,38.401
113.38,38.392
113.39,37.445
113.4,36.542
113.41,36.303
113.42,36.786
113.43,36.321
113.44,35.983
113.45,36.056
113.46,35.364
113.47,34.74
113.48,34.758
113.49,35.109
113.5,35.539
113.51,37.22
113.52,38.724
113.53,37.987
113.54,37.797
113.55,40.254
113.56,39.789
113.57,39.423
113.58,39.674
113.59,39.34
113.6,38.544
113.61,37.542
113.62,36.946
113.63,37.226
113.64,37.349
113.65,36.818
113.66,36.936
113.67,37.861
113.68,38.579
113.69,39.048
113.7,39.81
113.71,40.623
113.72,40.579
113.73,40.055
113.74,39.046
113.75,38.916
113.76,38.947
113.77,38.131
113.78,37.268
113.79,36.723
113.8,36.908
113.81,37.214
113.82,37.916
113.83,39.677
113.84,40.535
113.85,42.443
113.86,39.948
113.87,30.173
113.88,37.255
113.89,41.441
113.9,40.308
113.91,40.094
113.92,40.08
113.93,39.956
113.94,40.19
113.95,40.159
113.96,40.527
113.97,41.61
113.98,42.382
113.99,42.109
114.0,42.105
114.01,45.96
114.02,47.013
114.03,45.657
114.04,45.653
114.05,45.7
114.06,45.994
114.07,45.088
114.08,45.068
114.09,45.733
114.1,46.249
114.11,47.127
114.12,47.99
114.13,44.034
114.14,37.104
114.15,40.206
114.16,43.018
114.17,42.77
114.18,42.268
114.19,43.067
114.2,42.701
114.21,43.774
114.22,43.041
114.23,40.82
114.24,45.216
114.25,47.119
114.26,46.172
114.27,44.863
114.28,44.857
114.29,44.863
114.3,44.809
114.31,45.772
114.32,47.265
114.33,49.163
114.34,49.861
114.35,49.288
114.36,48.687
114.37,48.19
114.38,48.524
114.39,48.759
114.4,48.356
114.41,46.562
114.42,44.795
114.43,44.054
114.44,44.213
114.45,44.365
114.46,44.014
114.47,43.46
114.48,41.901
114.49,40.938
114.5,40.379
114.51,39.969
114.52,38.632
114.53,38.518
114.54,38.517
114.55,38.108
114.56,39.276
114.57,39.984
114.58,40.052
114.59,39.917
114.6,40.352
114.61,40.571
114.62,40.609
114.63,40.639
114.64,40.275
114.65,39.794
114.66,39.785
114.67,40.79
114.68,41.829
114.69,42.412
114.7,42.709
114.71,42.913
114.72,41.225
114.73,39.202
114.74,39.646
114.75,42.366
114.76,42.711
114.77,42.116
114.78,42.234
114.79,41.608
114.8,41.372
114.81,41.996
114.82,43.149
114.83,43.119
114.84,43.969
114.85,45.291
114.86,44.965
114.87,39.763
114.88,36.764
114.89,40.652
114.9,44.871
114.91,45.795
114.92,46.137
114.93,45.96
114.94,45.949
114.95,46.584
114.96,47.752
114.97,48.074
114.98,47.731
114.99,48.074
115.0,47.54
115.01,48.772
115.02,50.662
115.03,51.007
115.04,50.211
115.05,50.773
115.06,49.554
115.07,48.517
115.08,48.319
115.09,49.435
115.1,49.923
115.11,49.704
115.12,49.408
115.13,49.691
115.14,49.361
115.15,48.871
115.16,48.449
115.17,48.438
115.18,49.326
115.19,49.341
115.2,48.622
115.21,47.234
115.22,48.093
115.23,48.578
115.24,48.418
115.25,47.529
115.26,47.207
115.27,47.212
115.28,47.133
115.29,47.004
115.3,48.196
115.31,49.427
115.32,49.171
115.33,48.691
115.34,46.8
115.35,45.16
115.36,44.378
115.37,44.633
115.38,45.321
115.39,45.723
115.4,47.068
115.41,47.809
115.42,47.381
115.43,45.636
115.44,42.548
115.45,38.927
115.46,36.158
115.47,35.709
115.48,36.718
115.49,36.725
115.5,36.627
115.51,36.471
115.52,36.09
115.53,35.499
115.54,37.196
115.55,38.64
115.56,39.119
115.57,39.342
115.58,39.063
115.59,37.614
115.6,37.019
115.61,38.168
115.62,39.752
115.63,40.685
115.64,39.495
115.65,38.722
115.67,31.263
115.68,28.663
115.69,24.803
115.7,24.745
115.71,26.552
115.72,27.136
115.73,29.326
115.74,35.33
115.75,42.436
115.76,42.813
115.77,40.921
115.78,40.047
115.79,39.087
115.8,38.757
115.81,39.248
115.82,40.605
115.83,40.691
115.84,39.803
115.85,41.212
115.86,42.245
115.87,41.174
115.88,40.463
115.89,40.374
115.9,41.053
115.91,41.988
115.92,42.966
115.93,43.145
115.94,42.602
115.95,40.09
115.96,34.167
115.97,41.314
115.98,44.538
116.0,36.916
116.01,39.1
116.02,39.818
116.03,39.516
116.04,40.212
116.05,40.984
116.06,41.339
116.07,42.29
116.08,43.051
116.09,43.299
116.1,42.901
116.11,43.689
116.12,43.91
116.13,43.995
116.14,44.739
116.15,45.369
116.16,45.563
116.17,45.227
116.18,46.093
116.19,46.875
116.2,47.868
116.21,48.582
116.22,48.658
116.23,47.944
116.24,47.059
116.25,47.127
116.26,47.332
116.27,46.722
116.28,42.818
116.29,40.37
116.3,45.43
116.31,47.243
116.32,46.326
116.33,45.336
116.34,44.411
116.35,44.464
116.36,45.141
116.37,45.383
116.38,43.965
116.39,43.412
116.4,44.547
116.41,45.359
116.42,44.542
116.43,44.544
116.44,46.112
116.45,46.354
116.46,45.99
116.47,45.539
116.48,43.987
116.5,46.857
116.51,47.995
116.52,45.926
116.53,44.346
116.54,42.746
116.55,42.202
116.56,42.596
116.57,43.692
116.58,44.676
116.59,45.546
116.6,45.626
116.61,45.209
116.62,44.901
116.63,45.08
116.64,44.656
116.65,44.366
116.66,45.586
116.67,45.463
116.68,44.89
116.69,44.592
116.7,45.041
116.71,45.391
116.72,46.3
116.73,46.738
116.74,47.119
116.75,47.726
116.76,48.33
116.77,49.088
116.78,48.714
116.79,47.75
116.8,47.751
116.81,46.982
116.82,46.72
116.83,46.451
116.84,45.072
116.85,43.149
116.86,42.023
116.87,41.35
116.88,41.723
116.89,43.017
116.9,43.514
116.91,43.002
116.92,43.582
116.93,43.843
116.94,40.13
116.95,39.428
116.96,44.525
116.97,48.045
116.98,48.797
117.0,48.075
117.01,47.014
117.02,46.591
117.03,48.368
117.04,48.017
117.05,45.801
117.06,45.407
117.07,45.469
117.08,46.605
117.09,49.265
117.1,51.266
117.11,41.642
117.12,36.671
117.13,42.103
117.14,48.796
117.15,54.512
117.16,53.717
117.17,50.726
117.18,46.704
117.19,46.249
117.2,46.567
117.21,43.693
117.22,42.849
117.23,45.478
117.24,45.734
117.25,46.692
117.26,47.476
117.27,45.803
117.28,42.198
117.29,44.339
117.3,48.316
117.31,49.292
117.32,51.008
117.33,53.271
117.34,54.328
117.35,54.474
117.36,53.246
117.37,51.843
117.38,51.88
117.39,52.214
117.4,50.899
117.41,48.898
117.42,49.139
117.43,51.003
117.44,51.836
117.45,52.313
117.46,52.895
117.47,53.554
117.48,54.107
117.49,54.078
117.5,54.587
117.51,55.353
117.52,55.78
117.53,57.37
117.54,59.289
117.55,60.018
117.56,60.051
117.57,59.213
117.58,55.95
117.59,52.482
117.6,50.094
117.61,49.115
117.62,48.657
117.63,48.599
117.64,47.704
117.65,45.443
117.66,44.229
117.67,42.867
117.68,42.951
117.69,44.762
117.7,47.838
117.71,51.451
117.72,53.113
117.73,53.503
117.74,53.348
117.75,52.155
117.76,50.546
117.77,48.983
117.78,46.159
117.79,44.073
117.8,42.699
117.81,42.512
117.82,43.349
117.83,43.251
117.84,43.079
117.85,43.775
117.86,43.98
117.87,43.885
117.88,44.861
117.89,45.207
117.9,44.046
117.91,44.259
117.92,44.46
117.93,44.808
117.94,45.083
117.95,45.427
117.96,44.862
117.97,45.33
117.98,45.164
117.99,44.365
118.0,38.633
118.01,40.788
118.02,41.873
118.03,41.395
118.04,40.999
118.05,41.688
118.07,39.988
118.08,40.254
118.09,40.348
118.1,38.903
118.11,39.798
118.12,41.937
118.13,43.47
118.14,44.686
118.15,43.927
118.16,42.935
118.17,41.38
118.18,36.888
118.19,33.19
118.2,32.347
118.21,33.316
118.22,35.485
118.23,35.338
118.24,34.093
118.25,34.484
118.26,35.499
118.27,35.199
118.28,33.854
118.29,33.447
118.3,32.955
118.31,32.105
118.32,32.067
118.33,32.59
118.34,32.63
118.35,31.636
118.36,31.55
118.37,32.316
118.38,33.719
118.39,35.257
118.4,35.318
118.41,34.327
118.42,32.833
118.43,31.671
118.44,30.603
118.45,29.726
118.46,28.986
118.47,28.416
118.48,28.695
118.49,28.89
118.5,28.436
118.51,28.218
118.52,27.949
118.53,27.581
118.54,27.531
118.55,27.452
118.56,27.049
118.57,26.668
118.58,26.658
118.59,26.944
118.6,27.139
118.61,27.42
118.62,27.861
118.63,27.763
118.64,27.158
118.65,27.039
118.66,27.031
118.67,26.969
118.68,27.166
118.69,27.351
118.7,27.527
118.71,27.612
118.72,27.738
118.73,28.003
118.74,27.935
118.75,28.004
118.76,28.302
118.77,28.662
118.78,28.457
118.79,28.48
118.8,28.868
118.81,29.937
118.82,29.99
118.83,30.067
118.84,29.122
118.85,26.164
118.86,22.933
118.87,29.518
118.88,33.035
118.89,32.181
118.9,29.08
118.91,29.194
118.92,29.898
118.93,31.206
118.94,32.46
118.95,31.713
118.96,31.197
118.97,30.949
118.98,30.623
118.99,30.195
119.0,45.579
119.01,46.611
119.02,47.544
119.03,46.413
119.04,45.338
119.05,50.422
119.06,51.299
119.07,50.116
119.08,50.036
119.09,49.481
119.1,49.196
119.11,48.713
119.12,48.525
119.13,49.152
119.14,49.244
119.15,47.861
119.16,47.217
119.17,47.039
119.18,47.437
119.19,48.063
119.2,47.618
119.21,46.971
119.22,46.645
119.23,46.75
119.24,47.328
119.25,47.889
119.26,48.122
119.27,49.91
119.28,47.955
119.29,47.793
119.3,49.132
119.31,46.9
119.32,45.874
119.33,45.672
119.34,46.046
119.35,45.927
119.36,45.405
119.37,45.79
119.38,46.596
119.39,46.274
119.4,46.178
119.41,45.165
119.42,45.409
119.43,45.677
119.44,46.171
119.45,47.059
119.46,48.092
119.47,48.515
119.48,48.591
119.49,48.024
119.5,47.241
119.51,45.221
119.52,44.276
119.53,45.518
119.54,47.006
119.55,47.848
119.56,47.773
119.57,47.736
119.58,48.775
119.59,50.143
119.6,51.156
119.61,51.581
119.62,51.919
119.63,52.405
119.64,52.156
119.65,51.282
119.66,50.099
119.67,49.593
119.68,49.478
119.69,50.249
119.7,48.525
119.71,44.077
119.72,46.033
119.73,49.186
119.74,49.279
119.75,48.906
119.76,48.228
119.77,47.172
119.78,47.246
119.79,47.966
119.8,48.279
119.81,47.83
119.82,46.955
119.83,47.151
119.84,47.407
119.85,48.042
119.86,48.371
119.87,48.041
119.88,49.003
119.89,49.934
119.9,51.342
119.91,51.406
119.92,50.785
119.93,51.571
119.94,52.215
119.95,52.528
119.96,52.206
119.97,50.915
119.98,49.675
119.99,48.859
120.0,45.331
120.01,47.034
120.02,47.932
120.03,47.39
120.04,46.067
120.05,47.154
120.06,48.411
120.07,48.978
120.08,48.745
120.09,48.944
120.1,49.367
120.11,49.819
120.12,49.525
120.13,48.569
120.14,49.072
120.15,49.524
120.16,48.488
120.17,47.401
120.18,46.264
120.19,44.619
120.2,43.018
120.21,43.676
120.22,42.929
120.23,43.718
120.24,43.808
120.25,36.518
120.26,41.855
120.27,45.777
120.28,45.24
120.29,44.911
120.3,45.218
120.31,44.323
120.32,43.85
120.33,43.614
120.34,41.763
120.35,40.105
120.36,40.957
120.37,41.79
120.38,42.689
120.39,43.181
120.4,42.567
120.41,42.168
120.42,41.93
120.43,40.377
120.44,37.891
120.45,37.528
120.46,37.234
120.47,36.121
120.48,35.415
120.49,35.086
120.5,35.731
120.51,36.52
120.52,36.835
120.53,36.826
120.54,37.113
120.55,37.664
120.56,37.697
120.57,37.319
120.58,37.144
120.59,36.618
120.6,35.829
120.61,35.381
120.62,34.808
120.63,35.041
120.64,34.936
120.65,33.58
120.66,33.561
120.67,35.34
120.68,36.208
120.69,36.961
120.7,37.377
120.71,36.277
120.72,34.203
120.73,34.973
120.74,35.154
120.75,34.824
120.76,35.636
120.77,36.091
120.78,36.214
120.79,36.281
120.8,35.577
120.81,35.921
120.82,35.478
120.83,35.1
120.84,35.834
120.85,36.469
120.86,36.824
120.87,36.877
120.88,38.91
120.89,40.385
120.9,38.973
120.91,34.507
120.92,36.616
120.93,39.025
120.94,38.74
120.95,38.648
120.96,38.541
120.97,38.18
120.98,37.498
120.99,36.849
121.0,41.632
121.01,43.658
121.02,45.1
121.03,46.187
121.04,45.971
121.05,45.337
121.06,46.449
121.07,47.91
121.08,48.554
121.09,48.336
121.1,48.22
