Depth,BC
1302.005,0.184
1302.015,0.111
1302.025,0.062
1302.035,0.048
1302.045,0.049
1302.055,0.042
1302.065,0.046
1302.075,0.048
1302.085,0.062
1302.095,0.074
1302.105,0.088
1302.115,0.111
1302.125,0.192
1302.135,0.181
1302.145,0.193
1302.155,0.198
1302.165,0.148
1302.175,0.131
1302.185,0.081
1302.195,0.049
1302.205,0.043
1302.215,0.033
1302.225,0.048
1302.235,0.062
1302.245,0.077
1302.255,0.091
1302.265,0.11
1302.275,0.133
1302.285,0.167
1302.295,0.18
1302.305,0.214
1302.315,0.268
1302.325,0.246
1302.335,0.206
1302.345,0.132
1302.355,0.118
1302.365,0.102
1302.375,0.077
1302.385,0.044
1302.395,0.038
1302.405,0.04
1302.415,0.041
1302.425,0.061
1302.435,0.083
1302.445,0.128
1302.455,0.144
1302.465,0.199
1302.475,0.241
1302.485,0.267
1302.495,0.232
1302.505,0.194
1302.515,0.072
1302.525,0.065
1302.535,0.074
1302.545,0.071
1302.555,0.047
1302.565,0.053
1302.575,0.058
1302.585,0.066
1302.595,0.126
1302.605,0.123
1302.615,0.176
1302.625,0.203
1302.635,0.203
1302.645,0.236
1302.655,0.284
1302.665,0.308
1302.675,0.331
1302.685,0.361
1302.695,0.299
1302.705,0.289
1302.715,0.199
1302.725,0.151
1302.735,0.116
1302.745,0.1
1302.755,0.104
1302.765,0.112
1302.775,0.155
1302.785,0.187
1302.795,0.225
1302.805,0.285
1302.815,0.285
1302.825,0.24
1302.835,0.168
1302.845,0.113
1302.855,0.076
1302.865,0.087
1302.875,0.107
1302.885,0.148
1302.925,0.167
1302.935,0.18
1302.945,0.182
1302.955,0.169
1302.965,0.147
1302.975,0.136
1302.985,0.063
1302.995,0.038
1303.005,0.041
1303.015,0.076
1303.025,0.083
1303.035,0.082
1303.045,0.11
1303.055,0.136
1303.065,0.201
1303.075,0.279
1303.085,0.29
1303.095,0.355
1303.105,0.356
1303.115,0.258
1303.125,0.185
1303.135,0.096
1303.145,0.061
1303.155,0.067
1303.165,0.085
1303.175,0.116
1303.185,0.137
1303.195,0.175
1303.205,0.278
1303.215,0.306
1303.225,0.408
1303.235,0.422
1303.245,0.418
1303.255,0.424
1303.265,0.372
1303.275,0.306
1303.285,0.247
1303.295,0.226
1303.305,0.16
1303.315,0.078
