Depth,S
1302.005,12.951
1302.015,11.091
1302.025,10.901
1302.035,10.685
1302.045,11.156
1302.055,12.82
1302.065,14.437
1302.075,15.419
1302.085,15.423
1302.095,15.508
1302.105,16.528
1302.115,16.503
1302.125,15.672
1302.135,15.008
1302.145,12.918
1302.155,12.015
1302.165,11.674
1302.175,8.998
1302.185,7.352
1302.195,8.217
1302.205,9.326
1302.215,9.08
1302.225,9.596
1302.235,10.924
1302.245,11.257
1302.255,12.3
1302.265,14.307
1302.275,15.499
1302.285,15.656
1302.295,15.856
1302.305,15.873
1302.315,13.497
1302.325,12.515
1302.335,12.544
1302.345,11.225
1302.355,10.011
1302.365,9.772
1302.375,9.786
1302.385,9.592
1302.395,10.128
1302.405,11.183
1302.415,11.613
1302.425,11.64
1302.435,13.592
1302.445,15.4
1302.455,15.383
1302.465,15.339
1302.475,13.771
1302.485,11.385
1302.495,9.903
1302.505,9.045
1302.515,8.693
1302.525,8.955
1302.535,9.944
1302.545,9.375
1302.555,8.855
1302.565,9.543
1302.575,10.315
1302.585,12.314
1302.595,15.893
1302.605,18.568
1302.615,18.757
1302.625,19.441
1302.635,20.026
1302.645,18.52
1302.655,17.632
1302.665,16.636
1302.675,15.453
1302.685,12.59
1302.695,12.19
1302.705,12.242
1302.715,11.503
1302.725,11.548
1302.735,12.492
1302.745,11.29
1302.755,10.843
1302.765,12.38
1302.775,14.391
1302.785,16.806
1302.795,15.97
1302.805,13.681
1302.815,11.289
1302.825,9.99
1302.835,10.777
1302.845,11.366
1302.855,11.73
1302.865,13.723
1302.875,16.201
1302.885,16.271
1302.925,13.949
1302.935,12.261
1302.945,10.862
1302.955,10.429
1302.965,10.807
1302.975,10.572
1302.985,9.949
1302.995,8.906
1303.005,8.777
1303.015,9.591
1303.025,10.997
1303.035,12.627
1303.045,15.54
1303.055,16.756
1303.065,16.491
1303.075,15.261
1303.085,15.53
1303.095,14.662
1303.105,12.852
1303.115,11.302
1303.125,11.016
1303.135,10.447
1303.145,9.437
1303.155,9.916
1303.165,11.001
1303.175,11.505
1303.185,12.843
1303.195,14.792
1303.205,15.353
1303.215,14.1
1303.225,13.044
1303.235,13.187
1303.245,12.031
1303.255,10.017
1303.265,9.6
1303.275,10.525
1303.285,10.375
1303.295,10.17
1303.305,10.491
1303.315,11.433
1303.325,12.511
1303.335,13.454
1303.345,14.398
1303.355,15.106
1303.365,15.364
1303.375,16.131
1303.385,16.851
1303.395,14.8
1303.405,12.164
1303.415,10.763
1303.425,10.09
1303.435,10.378
1303.445,11.585
1303.455,13.051
1303.465,13.03
1303.475,11.904
1303.485,11.775
1303.495,12.575
1303.505,12.367
1303.515,10.973
1303.525,11.24
1303.535,13.653
1303.545,16.107
1303.555,18.541
1303.565,20.834
1303.575,22.588
1303.585,24.806
1303.595,24.586
1303.605,23.145
1303.615,22.19
1303.625,19.99
1303.635,16.045
1303.645,13.726
1303.655,11.792
1303.665,9.968
1303.675,8.555
1303.685,8.465
1303.695,10.127
1303.705,11.369
1303.715,11.902
1303.725,12.365
1303.735,12.998
1303.745,12.722
1303.755,12.859
1303.765,12.794
1303.775,13.083
1303.785,11.95
1303.795,10.706
1303.805,10.455
1303.815,10.387
1303.825,9.922
1303.835,9.026
1303.845,8.28
1303.855,7.975
1303.865,8.323
1303.875,8.613
1303.885,8.869
1303.895,9.338
1303.905,10.466
1303.915,12.153
1303.925,12.618
1303.935,12.381
1303.945,12.315
1303.955,11.337
1303.965,10.236
1303.975,10.382
1303.985,10.862
1303.995,10.779
1304.005,10.969
1304.015,11.858
1304.025,12.658
1304.035,13.016
1304.045,13.456
1304.055,13.956
1304.065,14.347
1304.075,13.556
1304.085,13.065
1304.095,12.197
1304.105,11.102
1304.115,10.787
1304.125,11.48
1304.135,11.665
1304.145,11.525
1304.155,11.346
1304.165,11.863
1304.175,11.127
1304.185,10.24
1304.195,10.153
1304.205,10.712
1304.215,11.079
1304.225,11.871
1304.235,13.064
1304.245,12.823
1304.255,11.843
1304.265,12.062
1304.275,12.145
1304.285,11.447
1304.295,10.349
1304.305,8.939
1304.315,8.047
1304.325,7.32
1304.335,7.952
1304.345,8.6
1304.355,8.553
1304.365,9.513
1304.375,11.239
1304.385,12.627
1304.395,11.808
1304.405,11.872
1304.415,12.989
1304.425,13.044
1304.435,11.925
1304.445,11.944
1304.455,11.406
