Depth_m,Br
2.379,0.063
2.403,0.075
2.427,0.026
2.57,0.015
2.594,0.365
2.617,0.719
2.641,0.979
2.664,0.938
2.687,0.963
2.711,1.296
2.734,1.388
2.758,1.19
2.781,0.732
2.804,0.149
3.061,0.112
3.085,0.268
3.108,0.965
3.131,1.377
3.154,1.263
3.177,0.977
3.199,0.98
3.222,1.075
3.245,0.746
3.268,0.249
3.496,0.499
3.519,0.72
3.542,0.746
3.564,0.967
3.587,1.239
3.609,1.482
3.632,1.593
3.654,1.173
3.676,0.56
3.967,0.051
4.011,0.03
4.034,0.602
4.056,1.121
4.077,1.293
4.099,1.261
4.121,1.124
4.143,0.93
4.165,0.243
4.428,0.096
4.666,0.044
4.687,0.358
4.709,0.672
4.731,1.0
4.752,1.361
4.774,1.997
4.795,2.534
4.817,2.815
4.859,3.238
4.881,3.439
4.902,3.009
4.923,1.958
4.945,1.319
4.966,0.793
5.094,0.336
5.115,0.511
5.136,0.71
5.157,1.159
5.178,1.556
5.199,1.583
5.22,1.577
5.241,1.495
5.262,1.256
5.283,0.829
5.304,0.553
5.325,0.56
5.346,0.26
5.556,0.007
5.577,0.136
5.598,0.494
5.618,0.662
5.639,0.551
5.66,0.407
5.68,0.605
5.701,0.69
5.721,0.038
6.01,0.519
6.031,0.758
6.052,0.727
6.072,0.763
6.093,1.037
6.113,1.012
6.134,1.106
6.154,1.56
6.175,1.824
6.195,1.393
6.215,0.705
6.236,0.292
6.256,0.094
6.661,0.327
6.681,0.544
6.701,0.855
6.721,1.001
6.741,1.209
6.761,1.127
6.781,0.969
6.801,0.991
6.821,0.952
6.841,0.608
6.861,0.33
7.338,0.589
7.357,0.781
7.377,0.42
7.397,0.352
7.417,0.369
7.436,0.428
7.456,0.27
7.476,0.126
7.613,0.038
7.632,0.121
7.652,0.275
7.671,0.482
7.691,0.741
7.71,0.996
7.73,1.081
7.75,1.206
7.769,1.535
7.789,1.771
7.808,1.897
7.827,1.726
7.847,1.738
7.866,1.731
7.886,1.368
7.905,1.089
7.924,0.674
7.944,0.372
7.963,0.482
7.982,0.099
8.137,0.016
8.157,0.125
8.176,0.263
8.195,0.447
8.215,0.422
8.234,0.331
8.253,0.17
8.483,0.641
8.502,1.375
8.522,1.905
8.541,2.334
8.56,2.26
8.579,1.988
8.598,1.511
8.617,1.143
8.636,0.741
8.655,0.308
9.129,0.223
9.147,0.585
9.166,0.616
9.185,0.843
9.204,1.175
9.223,1.314
9.242,1.514
9.261,1.69
9.279,1.695
9.298,1.723
9.317,1.745
9.336,1.657
9.354,1.549
9.373,1.189
9.392,0.814
9.41,0.273
9.429,0.012
10.043,0.065
10.062,0.171
10.08,0.23
10.099,0.237
10.117,0.491
10.135,0.603
10.154,0.592
10.172,0.725
10.191,0.763
10.209,0.658
10.227,0.577
10.246,0.6
10.264,0.807
10.282,0.724
10.301,0.811
10.319,1.11
10.338,1.194
10.356,1.186
10.374,1.173
10.393,1.082
10.411,1.185
10.43,1.273
10.448,1.315
10.466,1.538
10.485,1.62
10.503,1.41
10.521,0.968
10.539,1.016
10.558,0.965
10.576,0.536
10.594,0.103
10.777,0.117
10.795,0.28
10.813,0.486
10.831,0.721
10.85,1.047
10.868,1.429
10.886,1.385
10.904,1.328
10.922,1.004
10.94,0.84
10.959,0.763
10.977,0.705
10.995,0.6
11.013,0.534
11.031,0.478
11.049,0.417
11.067,0.24
11.085,0.12
11.266,0.143
11.284,0.307
11.302,0.624
11.32,0.639
11.339,0.957
11.357,1.206
11.375,1.109
11.393,0.724
11.68,0.045
11.698,0.06
11.716,0.486
11.734,0.888
11.752,0.787
11.77,0.748
11.788,0.765
11.805,0.619
11.823,0.326
11.841,0.065
11.859,0.108
11.877,0.037
11.895,0.061
11.913,0.023
11.93,0.013
12.215,0.001
12.233,0.381
12.251,0.448
12.269,0.482
12.286,0.574
12.304,0.53
12.322,0.472
12.34,0.201
12.605,0.13
12.622,0.434
12.64,0.738
12.658,0.859
12.676,0.941
12.693,0.825
12.711,0.699
12.728,0.602
12.746,0.466
12.764,0.27
12.975,0.214
12.992,0.744
13.01,1.207
13.027,1.377
13.045,1.32
13.062,1.401
13.08,1.131
13.097,0.93
13.115,0.999
13.132,1.358
13.15,1.29
13.167,0.923
13.185,0.95
13.202,0.986
13.22,1.047
13.237,0.89
13.255,0.777
13.272,0.308
13.968,0.401
13.985,1.405
14.003,1.712
14.02,1.573
14.037,1.382
14.054,1.04
14.072,0.704
14.089,0.695
14.106,0.544
14.244,0.053
14.262,0.717
14.279,1.11
14.296,1.226
14.313,1.38
14.331,1.476
14.348,1.885
14.365,2.107
14.382,2.073
14.399,1.773
14.416,1.175
14.434,0.548
14.451,0.025
14.863,0.407
14.88,0.913
14.897,1.397
14.914,1.882
14.931,2.475
14.948,2.51
14.965,2.469
14.982,2.153
14.999,1.586
15.016,1.271
15.033,0.984
15.05,0.738
15.068,0.038
15.629,0.255
15.646,0.572
15.663,0.9
15.68,1.085
15.697,1.798
15.714,2.01
15.73,2.078
15.747,2.099
15.764,2.05
15.781,1.556
15.798,1.257
15.815,1.384
15.832,1.067
15.849,0.698
15.866,0.808
15.883,0.878
15.9,0.823
15.916,0.818
15.933,0.76
15.95,0.775
15.967,0.785
15.984,0.676
16.001,0.083
16.169,0.05
16.186,0.417
16.203,0.424
16.22,0.516
16.237,1.025
16.254,1.574
16.27,1.563
16.287,1.562
16.304,1.547
16.321,1.501
16.338,1.314
16.355,1.507
16.371,1.528
16.388,1.555
16.405,1.172
16.422,0.936
16.438,0.457
16.455,0.259
16.539,0.136
16.556,0.375
16.573,0.462
16.59,0.451
16.606,0.882
16.623,1.303
16.64,1.507
16.657,1.565
16.673,1.501
16.69,1.085
16.707,0.869
16.724,0.81
16.74,0.822
16.757,1.018
16.774,0.466
16.941,0.064
16.958,0.268
16.974,0.391
16.991,0.505
17.008,0.558
17.291,0.744
17.308,1.507
17.324,1.425
17.341,1.563
17.358,1.756
17.374,1.799
17.391,1.68
17.408,1.386
17.424,1.585
17.441,2.064
17.457,2.004
17.474,2.374
17.491,2.807
17.507,3.293
17.524,3.145
17.541,2.868
17.557,2.691
17.574,1.85
17.59,1.01
17.607,0.358
18.037,0.226
18.054,0.285
18.07,0.348
18.087,0.302
18.103,0.759
18.12,1.004
18.136,0.883
18.153,0.828
18.169,0.859
18.186,0.99
18.202,1.025
18.219,1.005
18.235,0.981
18.252,1.004
18.268,0.853
18.285,0.513
18.301,0.057
18.499,0.271
18.515,0.65
18.532,0.991
18.548,1.487
18.565,1.699
18.581,2.163
18.598,2.645
18.614,2.914
18.631,2.442
18.647,2.5
18.663,2.931
18.68,3.1
18.696,2.628
18.713,2.223
18.729,1.908
18.745,1.465
18.762,1.383
18.778,1.306
18.795,1.073
18.811,0.631
18.827,0.384
18.844,0.081
18.86,0.427
18.877,0.84
18.893,1.219
18.909,1.679
18.926,1.589
18.942,1.706
18.959,1.634
18.975,1.832
18.991,1.85
19.008,1.416
19.024,0.642
19.742,0.374
19.758,0.922
19.775,1.754
19.791,2.248
19.807,2.563
19.823,3.276
19.84,3.612
19.856,3.524
19.872,3.158
19.888,1.815
19.921,0.624
20.148,0.108
20.164,0.642
20.181,0.821
20.197,0.83
20.213,0.919
20.229,0.935
20.245,0.366
20.262,0.176
20.278,0.018
20.294,0.039
20.44,0.301
20.456,0.912
20.472,1.012
20.488,0.695
20.504,0.899
20.52,1.365
20.537,1.309
20.553,1.072
20.569,1.215
20.585,1.244
20.601,1.551
20.617,2.256
20.633,1.955
20.65,1.857
20.666,2.047
20.682,1.829
20.698,1.829
20.714,1.548
20.73,1.58
20.746,1.157
20.762,0.956
20.779,0.665
20.795,0.322
20.811,0.142
21.197,0.33
21.213,0.715
21.229,0.743
21.246,0.823
21.262,0.883
21.278,0.663
21.294,0.183
21.502,0.109
21.518,0.607
21.534,1.067
21.55,1.483
21.567,1.639
21.583,1.604
21.599,1.281
21.615,0.992
21.631,0.783
21.647,0.5
21.663,0.26
21.775,0.05
21.791,0.26
21.807,0.72
21.823,1.017
21.839,1.432
21.855,1.426
21.871,1.47
21.887,1.575
21.903,1.295
21.919,0.816
21.935,0.252
22.158,0.01
22.19,0.12
22.206,0.268
22.222,0.568
22.238,0.512
