Depth(m),Cond(uS)
1.505,0.755
1.515,0.751
1.525,0.744
1.535,0.743
1.545,0.747
1.555,0.757
1.565,0.769
1.575,0.774
1.585,0.77
1.595,0.752
1.605,0.74
1.615,0.73
1.625,0.722
1.635,0.714
1.645,0.714
1.655,0.728
1.665,0.765
1.675,0.815
1.685,0.884
1.695,0.978
1.705,1.078
1.715,1.167
1.725,1.231
1.735,1.264
1.745,1.287
1.755,1.296
1.765,1.289
1.775,1.243
1.785,1.183
1.795,1.129
1.805,1.089
1.815,1.072
1.825,1.076
1.835,1.078
1.845,1.08
1.855,1.079
1.865,1.07
1.875,1.057
1.885,1.05
1.895,1.036
1.905,1.021
1.915,1.003
1.925,0.987
1.935,0.97
1.945,0.959
1.955,0.943
1.965,0.922
1.975,0.898
1.985,0.863
1.995,0.824
2.005,0.774
2.015,0.724
2.025,0.692
2.035,0.668
2.045,0.662
2.055,0.662
2.065,0.661
2.075,0.658
2.085,0.651
2.095,0.642
2.105,0.639
2.115,0.646
2.125,0.663
2.135,0.687
2.145,0.718
2.155,0.75
2.165,0.782
2.175,0.815
2.185,0.834
2.195,0.842
2.205,0.852
2.215,0.876
2.225,0.923
2.235,0.991
2.245,1.085
2.255,1.189
2.265,1.264
2.275,1.315
2.285,1.346
2.295,1.349
2.305,1.335
2.315,1.309
2.325,1.271
2.335,1.227
2.345,1.18
2.355,1.138
2.365,1.099
2.375,1.071
2.385,1.058
2.395,1.055
2.405,1.062
2.415,1.071
2.425,1.072
2.435,1.073
2.445,1.056
2.455,1.039
2.465,1.01
2.475,0.979
2.485,0.954
2.495,0.94
2.505,0.931
2.515,0.929
2.525,0.927
2.535,0.923
2.545,0.918
2.555,0.91
2.565,0.906
2.575,0.909
2.585,0.921
2.595,0.942
2.605,0.96
2.615,0.982
2.625,0.991
2.635,0.983
2.645,0.952
2.655,0.903
2.665,0.831
2.675,0.754
2.685,0.692
2.695,0.627
2.705,0.575
2.715,0.54
2.725,0.518
2.735,0.51
2.745,0.51
2.755,0.518
2.765,0.539
2.775,0.577
2.785,0.626
2.795,0.677
2.805,0.735
2.815,0.798
2.825,0.855
2.835,0.899
2.845,0.938
2.855,0.971
2.865,0.995
2.875,1.024
2.885,1.06
2.895,1.091
2.905,1.089
2.915,1.074
2.925,1.028
2.935,0.974
2.945,0.911
2.955,0.845
2.965,0.774
2.975,0.741
2.985,0.743
2.995,0.761
3.005,0.774
3.015,0.774
3.025,0.768
3.035,0.759
3.045,0.747
3.055,0.74
3.065,0.738
3.075,0.744
3.085,0.765
3.095,0.832
3.105,0.881
3.115,0.985
3.125,1.033
3.135,1.074
3.145,1.102
3.155,1.112
3.165,1.116
3.175,1.108
3.185,1.085
3.195,1.042
3.205,0.991
3.215,0.952
3.225,0.917
3.235,0.9
3.245,0.907
3.255,0.94
3.265,0.988
3.275,1.029
3.285,1.066
3.295,1.076
3.305,1.067
3.315,1.048
3.325,1.03
3.335,1.01
3.345,1.006
3.355,1.011
3.365,1.035
3.375,1.063
3.385,1.082
3.395,1.08
3.405,1.047
3.415,0.982
3.425,0.913
3.435,0.873
3.445,0.863
3.455,0.868
3.465,0.874
3.475,0.879
3.485,0.887
3.495,0.901
3.505,0.925
3.515,0.959
3.525,0.99
3.535,1.023
3.545,1.049
3.555,1.07
3.565,1.098
3.575,1.125
3.585,1.142
3.595,1.148
3.605,1.14
3.615,1.118
3.625,1.093
3.635,1.076
3.645,1.075
3.655,1.073
3.665,1.071
3.675,1.06
3.685,1.046
3.695,1.035
3.705,1.028
3.715,1.029
3.725,1.017
3.735,0.989
3.745,0.947
3.755,0.883
3.765,0.817
3.775,0.773
3.785,0.741
3.795,0.729
3.805,0.728
3.815,0.736
3.825,0.742
3.835,0.755
3.845,0.767
3.855,0.786
3.865,0.808
3.875,0.843
3.885,0.89
3.895,0.939
3.905,1.006
3.915,1.071
3.925,1.105
3.935,1.119
3.945,1.099
3.955,1.064
3.965,1.019
3.975,0.971
3.985,0.944
3.995,0.942
4.005,0.959
4.015,0.998
4.025,1.046
4.035,1.103
4.045,1.146
4.055,1.168
4.065,1.165
4.075,1.136
4.085,1.086
4.095,0.998
4.105,0.896
4.115,0.816
4.125,0.76
4.135,0.728
4.145,0.718
4.155,0.716
4.165,0.718
4.175,0.724
4.185,0.724
4.195,0.724
4.205,0.72
4.215,0.718
4.225,0.719
4.235,0.723
4.245,0.734
4.255,0.738
4.265,0.746
4.275,0.746
4.285,0.751
4.295,0.752
4.305,0.755
4.315,0.766
4.325,0.79
4.335,0.82
4.345,0.844
4.355,0.862
4.365,0.874
4.375,0.883
4.385,0.883
4.395,0.883
4.405,0.891
4.415,0.91
4.425,0.947
4.435,0.999
4.445,1.07
4.455,1.137
4.465,1.206
4.475,1.27
4.485,1.337
4.495,1.376
4.505,1.401
4.515,1.392
4.525,1.367
4.535,1.341
4.545,1.319
4.555,1.297
4.565,1.278
4.575,1.252
4.585,1.206
4.595,1.144
4.605,1.082
4.615,1.027
4.625,1.007
4.635,0.994
4.645,0.991
4.655,0.995
4.665,1.008
4.675,1.016
4.685,1.024
4.695,1.027
4.705,1.028
4.715,1.034
4.725,1.036
4.735,1.033
4.745,1.03
4.755,1.016
4.765,1.013
4.775,1.018
4.785,1.053
4.795,1.11
4.805,1.192
4.815,1.288
4.825,1.374
4.835,1.43
4.845,1.436
4.855,1.407
4.865,1.357
4.875,1.312
4.885,1.266
4.895,1.223
4.905,1.185
4.915,1.155
4.925,1.119
4.935,1.082
4.945,1.028
4.955,0.974
4.965,0.915
4.975,0.869
4.985,0.837
4.995,0.818
5.005,0.8
5.015,0.787
5.025,0.776
5.035,0.772
5.045,0.776
5.055,0.79
5.065,0.816
5.075,0.871
5.085,0.95
5.095,1.041
5.105,1.128
5.115,1.2
5.125,1.253
5.135,1.287
5.145,1.315
5.155,1.343
5.165,1.385
5.175,1.455
5.185,1.529
5.195,1.592
5.205,1.623
5.215,1.592
5.225,1.502
5.235,1.388
5.245,1.271
5.255,1.153
5.265,1.054
5.275,0.973
5.285,0.926
5.295,0.903
5.305,0.889
5.315,0.884
5.325,0.882
5.335,0.88
5.345,0.878
5.355,0.867
5.365,0.859
5.375,0.844
5.385,0.831
5.395,0.824
5.405,0.819
5.415,0.811
5.425,0.805
5.435,0.812
5.445,0.839
5.455,0.883
5.465,0.917
5.475,0.912
5.485,0.869
5.495,0.791
5.505,0.724
5.515,0.679
5.525,0.664
5.535,0.683
5.545,0.726
5.555,0.771
5.565,0.814
5.575,0.853
5.585,0.878
5.595,0.907
5.605,0.948
5.615,1.0
5.625,1.066
5.635,1.12
5.645,1.164
5.655,1.201
5.665,1.215
5.675,1.215
5.685,1.211
5.695,1.208
5.705,1.208
5.715,1.203
5.725,1.179
5.735,1.127
5.745,1.073
5.755,1.028
5.765,0.99
5.775,0.949
5.785,0.898
5.795,0.847
5.805,0.807
5.815,0.776
5.825,0.762
5.835,0.758
5.845,0.759
5.855,0.764
5.865,0.774
5.875,0.788
5.885,0.807
5.895,0.831
5.905,0.85
5.915,0.871
5.925,0.898
5.935,0.931
5.945,0.985
