Depth_m,Na
1.643,0.019
1.67,0.148
1.696,0.188
1.721,0.141
1.745,0.105
1.77,0.119
1.795,0.317
1.819,0.64
1.844,0.916
1.868,1.067
1.893,1.156
1.917,1.152
1.942,0.924
1.967,0.415
2.235,0.584
2.259,1.325
2.283,2.151
2.307,2.853
2.331,2.976
2.355,1.99
2.379,0.788
2.403,0.202
2.781,0.186
2.804,0.71
2.828,1.188
2.851,1.723
2.874,1.432
2.898,0.152
3.222,0.334
3.245,0.719
3.268,1.047
3.291,1.202
3.313,1.289
3.336,1.331
3.359,1.149
3.382,0.809
3.405,0.441
3.427,0.114
3.542,0.083
3.564,0.209
3.587,0.347
3.609,0.492
3.632,0.609
3.654,0.682
3.676,0.64
3.699,0.483
3.721,0.202
3.855,0.004
3.877,0.088
4.253,0.025
4.275,0.62
4.297,0.846
4.319,0.71
4.341,0.33
4.493,0.22
4.515,1.151
4.536,1.74
4.558,1.473
4.58,1.21
4.601,1.533
4.623,1.857
4.644,1.853
4.666,1.541
4.687,0.99
4.709,0.175
4.817,0.219
4.838,0.417
4.859,0.481
4.881,0.363
4.902,0.228
4.923,0.11
4.945,0.027
4.966,0.006
4.987,0.064
5.008,0.15
5.03,0.227
5.051,0.141
5.367,0.117
5.388,0.227
5.409,0.329
5.43,0.275
5.451,0.06
5.99,0.088
6.01,0.619
6.031,0.975
6.052,0.83
6.072,0.107
6.215,0.37
6.236,0.917
6.256,1.258
6.276,1.518
6.296,1.594
6.317,1.763
6.337,2.295
6.357,2.833
6.377,3.102
6.398,2.533
6.418,1.215
7.239,0.194
7.259,0.53
7.278,0.72
7.298,0.454
7.456,0.309
7.476,0.726
7.495,0.952
7.515,1.038
7.534,1.011
7.554,0.815
7.573,0.492
7.593,0.134
7.924,0.081
7.944,0.257
7.963,0.517
7.982,0.709
8.002,0.681
8.021,0.567
8.04,0.425
8.06,0.251
8.079,0.01
8.253,0.399
8.272,0.907
8.291,1.526
8.311,2.071
8.33,2.302
8.349,2.396
8.368,2.328
8.387,2.335
8.407,2.251
8.426,1.933
8.445,1.371
8.464,0.644
8.617,0.389
8.636,0.827
8.655,1.225
8.674,1.64
8.693,1.961
8.712,1.667
8.731,0.859
8.864,0.283
8.883,1.1
8.902,1.946
8.921,3.019
8.94,4.092
8.959,4.755
8.978,4.912
8.996,4.417
9.015,3.291
9.034,1.516
9.392,0.247
9.41,0.783
9.429,1.49
9.448,2.201
9.466,2.625
9.485,2.611
9.504,2.438
9.522,2.094
9.541,1.664
9.56,1.224
9.578,0.276
9.821,0.032
9.839,0.178
9.858,0.266
9.876,0.306
9.895,0.374
9.913,0.41
9.932,0.293
9.95,0.109
10.191,0.571
10.209,1.153
10.227,1.091
10.246,0.552
10.612,0.036
10.631,0.123
10.649,0.156
10.667,0.149
10.685,0.09
11.067,0.217
11.085,0.56
11.103,0.94
11.121,1.052
11.14,0.749
11.411,0.698
11.429,1.261
11.446,1.772
11.464,1.994
11.482,1.813
11.5,1.463
11.518,1.163
11.536,0.959
11.554,0.862
11.572,0.813
11.59,0.719
11.608,0.556
11.626,0.249
12.108,0.684
12.126,0.935
12.144,0.509
12.251,0.148
12.269,0.328
12.286,0.403
12.304,0.022
12.428,0.35
12.446,1.167
12.463,1.824
12.481,2.278
12.499,2.101
12.516,1.429
12.534,0.274
12.834,0.259
12.851,0.623
12.869,0.825
12.887,0.592
12.904,0.173
13.045,0.197
13.062,1.974
13.08,1.272
13.097,0.75
13.115,0.143
13.202,0.15
13.342,0.219
13.36,1.446
13.377,2.855
13.394,3.766
13.412,4.034
13.429,4.08
13.447,3.842
13.464,3.578
13.482,2.965
13.499,2.073
13.517,0.856
13.673,0.168
13.69,1.012
13.708,2.122
13.725,3.074
13.742,3.268
13.76,2.849
13.777,2.018
13.794,0.793
14.485,0.244
14.502,1.387
14.52,2.243
14.537,1.716
14.554,0.816
14.571,0.972
14.588,1.524
14.606,1.787
14.623,1.22
14.64,0.151
14.743,1.246
14.76,3.289
14.777,4.827
14.794,4.272
14.811,1.74
15.068,0.083
15.085,0.865
15.102,1.244
15.119,1.267
15.136,1.156
15.153,1.127
15.17,1.024
15.187,1.049
15.204,1.493
15.221,2.365
15.238,3.095
15.255,3.233
15.272,2.775
15.289,2.065
15.306,1.228
15.323,0.267
15.442,0.229
15.459,0.682
15.476,0.341
15.527,1.196
15.544,1.566
15.561,1.729
15.578,1.483
15.595,0.62
16.001,0.656
16.018,1.897
16.035,2.418
16.051,2.089
16.068,1.059
16.085,0.023
16.472,0.112
16.489,0.789
16.506,1.154
16.522,0.897
16.539,0.204
16.74,0.679
16.757,2.424
16.774,3.573
16.791,2.907
16.807,1.023
17.025,0.43
17.041,1.955
17.058,3.297
17.075,3.559
17.091,2.692
17.108,1.431
17.125,0.591
17.141,0.191
17.175,0.363
17.191,1.297
17.208,1.275
17.225,1.446
17.241,2.191
17.258,1.281
17.275,0.025
17.623,1.818
17.64,3.935
