Depth_m,nh4
1.721,0.281
1.745,0.998
1.77,1.509
1.795,1.611
1.819,1.202
1.844,0.795
1.868,0.592
1.893,0.083
2.211,0.366
2.235,0.978
2.259,1.792
2.283,2.603
2.307,3.31
2.331,3.916
2.355,4.419
2.379,4.412
2.403,3.587
2.427,1.943
2.451,0.298
2.57,0.135
2.594,0.328
2.617,0.524
2.641,0.418
2.664,0.112
3.108,0.788
3.131,1.609
3.154,1.611
3.177,1.41
3.199,1.004
3.222,0.802
3.245,0.908
3.268,1.319
3.291,1.524
3.313,1.423
3.336,0.811
3.359,0.097
4.056,0.431
4.077,1.15
4.099,1.869
4.121,2.381
4.143,2.585
4.165,2.685
4.187,2.476
4.209,1.754
4.231,0.722
4.428,0.268
4.45,1.089
4.472,2.013
4.493,2.836
4.515,3.25
4.536,3.05
4.558,2.135
4.58,1.118
4.601,0.203
4.795,0.126
4.817,0.637
4.838,1.045
4.859,1.043
4.881,0.735
4.902,0.428
4.923,0.225
4.945,0.023
5.072,0.05
5.094,0.873
5.115,1.695
5.136,2.516
5.157,3.03
5.178,3.441
5.199,3.954
5.22,4.261
5.241,4.157
5.262,3.336
5.283,2.513
5.304,1.994
5.325,1.679
5.346,1.158
5.367,0.535
5.598,0.225
5.618,0.428
5.639,0.631
5.66,0.527
5.68,0.321
6.052,0.177
6.072,0.691
6.093,1.408
6.113,2.431
6.134,3.555
6.154,4.27
6.175,4.37
6.195,3.654
6.215,2.632
6.236,2.021
6.256,1.614
6.276,1.208
6.296,0.598
6.641,0.111
6.661,0.619
6.681,0.818
6.701,0.914
6.721,1.112
6.741,1.311
6.761,1.512
6.781,1.612
6.801,1.509
6.821,1.101
6.841,0.593
7.259,0.017
7.397,0.231
7.417,0.432
7.436,0.632
7.456,0.831
7.476,0.926
7.495,1.022
7.515,1.22
7.534,0.908
7.554,0.289
7.613,0.375
7.632,1.09
7.652,1.808
7.671,2.222
7.691,2.23
7.71,2.034
7.73,2.043
7.75,2.155
7.769,2.468
7.789,2.777
7.808,3.082
7.827,3.385
7.847,3.687
7.866,3.887
7.886,3.78
7.905,3.47
7.924,2.548
7.944,1.32
8.118,0.158
8.137,1.168
8.157,2.277
8.176,3.281
8.195,3.975
8.215,4.156
8.234,3.619
8.253,2.466
8.272,1.312
8.291,0.366
8.807,0.063
8.826,0.469
8.845,1.181
8.864,1.79
8.883,2.194
8.902,1.984
8.921,1.264
8.94,0.647
8.959,0.133
9.223,0.556
9.242,1.38
9.261,2.203
9.279,3.127
9.298,3.844
9.317,3.947
9.336,3.436
9.354,2.72
9.373,1.801
9.392,0.985
9.41,0.169
9.802,0.337
9.821,0.542
9.839,0.339
10.154,0.383
10.172,1.109
10.191,2.039
10.209,2.966
10.227,3.584
10.246,3.894
10.264,3.998
10.282,3.69
10.301,2.665
10.319,1.232
10.485,0.407
10.503,0.713
10.521,0.713
10.539,0.61
10.558,0.302
10.959,0.11
10.977,0.325
10.995,0.028
11.393,0.223
11.411,1.147
11.429,2.174
11.446,2.792
11.464,2.9
11.482,2.394
11.5,1.582
11.518,0.77
11.536,0.06
12.073,0.272
12.091,0.683
12.108,1.198
12.126,1.612
12.144,1.821
12.162,1.826
12.18,1.422
12.197,1.324
12.215,1.735
12.233,2.351
12.251,2.251
12.269,1.231
12.286,0.213
12.41,0.449
12.428,0.963
12.446,1.274
12.463,1.587
12.481,1.697
12.499,1.708
12.516,1.617
12.534,1.321
12.552,1.024
12.569,0.621
12.587,0.42
12.605,0.319
12.622,0.42
12.64,0.725
12.658,1.235
12.676,2.051
12.693,2.866
12.711,3.681
12.728,4.702
12.746,5.827
12.764,7.057
12.781,8.188
12.799,9.321
12.816,10.558
12.834,11.896
12.851,12.414
12.869,11.396
12.887,8.842
12.904,5.879
12.922,4.04
12.939,3.121
12.957,2.508
12.975,1.997
12.992,1.691
13.01,1.793
13.027,2.1
13.045,2.202
13.062,1.794
13.08,0.875
13.097,0.059
13.15,0.269
13.167,0.782
13.185,0.886
13.202,0.989
13.22,1.297
13.237,1.604
13.255,1.706
13.272,1.298
13.29,0.992
13.307,0.788
13.325,0.79
13.342,0.791
13.36,0.69
13.377,0.488
13.394,0.286
13.412,0.086
14.331,0.155
14.348,0.467
14.365,0.676
14.382,0.68
14.399,0.785
14.416,0.992
14.434,0.787
14.451,0.275
14.554,0.041
14.571,0.036
14.743,0.064
14.76,0.688
14.777,1.107
14.794,1.117
14.811,0.613
14.931,0.197
14.948,0.402
14.965,0.505
14.982,0.609
14.999,0.713
15.016,1.019
15.033,1.326
15.05,1.939
