Depth_m,nssCa
1.696,0.442
1.721,0.56
1.745,0.71
1.77,0.969
1.795,1.095
1.819,2.12
1.844,2.819
1.868,2.853
1.893,3.014
1.917,2.784
1.942,1.974
1.967,1.618
1.991,1.626
2.016,1.655
2.04,1.329
2.065,0.9
2.089,1.177
2.114,1.249
2.139,0.387
2.523,0.019
2.547,0.171
2.664,0.086
2.687,0.083
2.711,0.071
2.734,0.126
2.945,0.76
2.968,1.786
2.991,2.315
3.015,2.502
3.038,2.615
3.061,2.494
3.085,2.396
3.108,2.114
3.131,1.937
3.154,1.58
3.177,1.316
3.199,1.062
3.222,0.779
3.245,0.65
3.268,0.396
3.291,0.039
3.382,0.239
3.405,0.212
3.473,0.585
3.496,0.78
3.519,0.318
3.564,0.092
3.587,0.208
4.056,0.294
4.077,0.285
4.363,0.127
4.384,0.506
4.406,0.388
4.428,0.474
4.45,1.062
4.472,1.087
4.493,0.544
4.515,0.526
4.536,0.408
4.752,0.461
4.774,0.908
4.795,0.731
4.817,0.466
4.859,0.14
4.881,0.201
4.902,0.413
4.923,0.594
4.945,0.643
4.966,0.399
4.987,0.495
5.008,0.591
5.03,0.735
5.051,0.996
5.072,1.356
5.094,1.754
5.115,1.466
5.136,1.33
5.157,1.208
5.178,0.99
5.199,0.868
5.22,0.452
5.241,0.608
5.262,0.453
5.283,0.511
5.304,0.384
5.325,0.169
5.367,0.093
5.388,0.015
5.409,0.276
5.43,0.263
5.514,0.242
5.535,0.1
5.556,0.052
5.577,0.18
5.598,0.081
5.639,0.185
5.66,0.081
5.763,0.072
6.072,0.498
6.093,1.085
6.113,2.096
6.134,2.418
6.154,1.803
6.175,0.428
6.195,0.252
6.215,0.729
6.236,0.602
6.256,0.787
6.276,0.565
6.681,0.38
6.701,0.298
7.338,0.152
7.357,0.049
7.515,0.077
7.652,0.451
7.671,0.396
7.691,0.26
7.71,0.264
7.73,0.41
7.75,0.872
7.769,1.079
7.789,0.83
7.808,0.567
7.827,0.404
7.847,0.222
7.866,0.05
7.886,0.095
8.195,0.116
8.215,0.127
8.291,0.478
8.311,0.121
8.483,0.334
8.502,0.798
8.522,0.898
8.541,0.559
8.56,0.583
8.579,0.644
8.598,0.275
8.75,0.155
8.769,0.62
8.788,0.865
8.807,0.79
8.826,1.002
8.845,1.39
8.864,1.041
8.883,0.565
9.015,0.052
9.053,0.048
9.072,0.327
9.091,0.025
9.223,0.043
9.298,0.487
9.317,0.697
9.336,0.621
9.354,0.327
9.373,0.105
9.765,0.009
9.784,0.489
9.802,0.431
9.821,0.491
9.839,0.14
9.858,0.097
10.448,0.049
11.013,0.073
11.031,0.084
11.302,0.11
11.32,0.286
11.339,0.259
11.357,0.27
11.375,0.683
11.393,0.55
11.411,0.175
11.482,0.249
11.518,0.075
11.93,0.071
11.948,0.64
11.966,0.657
11.984,0.845
12.002,1.193
12.02,1.698
12.037,1.485
12.055,1.487
12.073,1.361
12.091,1.334
12.108,1.52
12.126,1.544
12.144,1.227
12.162,0.844
12.18,0.355
12.197,0.239
12.215,0.318
12.233,0.236
12.251,0.021
12.304,0.225
12.322,0.473
12.34,0.415
12.357,0.615
12.375,0.919
12.393,1.116
12.41,1.506
12.428,1.143
12.446,0.951
12.463,0.49
12.516,0.108
12.534,0.425
12.552,0.591
12.569,0.19
12.587,0.009
12.605,0.065
12.622,0.28
12.64,0.732
12.658,1.322
12.676,1.576
12.693,1.75
12.711,2.302
12.728,2.788
12.746,3.2
12.764,3.648
12.781,4.3
12.799,5.296
12.816,5.783
12.834,5.421
12.851,4.88
12.869,4.243
12.887,3.626
12.904,3.624
12.922,3.63
12.939,3.045
12.957,2.028
12.975,1.224
12.992,1.086
13.01,0.93
13.027,0.136
13.202,0.083
13.22,0.319
13.237,0.853
13.255,0.963
13.272,0.756
13.29,0.82
13.307,1.072
13.325,1.055
13.342,0.694
13.36,0.08
13.534,0.186
13.569,0.29
13.586,0.262
13.604,0.617
13.621,0.722
13.638,1.11
13.656,0.433
13.673,0.39
13.69,0.18
13.708,0.079
13.812,0.34
13.846,0.105
14.313,0.116
14.331,0.141
14.348,0.217
14.365,0.554
14.382,0.971
14.399,0.864
14.416,0.69
14.434,0.756
14.451,0.237
14.88,0.026
14.897,0.069
14.914,0.241
14.931,0.196
14.948,0.34
14.965,0.569
14.982,1.035
14.999,1.25
15.016,1.076
15.033,1.46
15.05,1.513
15.068,1.674
15.085,1.849
15.102,2.032
15.119,2.451
15.136,1.674
15.153,1.257
15.17,0.986
15.187,0.572
15.391,0.153
15.408,0.219
15.425,0.314
15.476,0.283
15.493,0.13
15.578,0.228
15.595,0.174
15.612,0.022
15.629,0.374
15.646,0.374
15.663,0.35
15.68,0.557
15.697,1.193
15.714,1.305
15.73,0.931
15.747,0.435
15.764,0.46
15.781,0.33
15.815,0.083
15.95,0.715
15.967,1.618
15.984,2.402
16.001,3.355
16.018,3.163
16.035,4.203
16.051,5.017
16.068,5.031
16.085,5.333
16.102,5.717
16.119,5.87
16.136,6.028
16.152,6.201
16.169,4.802
16.186,3.016
16.203,1.792
16.22,1.356
16.237,0.67
16.606,0.066
16.623,0.019
16.657,0.144
16.673,0.061
16.69,0.156
16.707,0.228
16.724,0.201
16.74,0.67
16.757,1.016
16.774,0.89
16.791,0.533
16.807,0.648
16.824,0.047
17.507,0.444
17.524,0.874
17.541,0.703
17.557,1.058
17.574,1.395
17.59,1.724
17.607,0.826
17.623,0.792
17.64,0.206
17.657,0.404
17.673,0.966
17.69,0.691
17.706,0.316
17.756,0.563
17.772,0.939
17.789,0.614
18.68,0.015
18.696,0.345
18.713,0.47
18.729,0.076
18.745,0.03
18.778,0.1
18.909,0.004
18.959,0.033
18.975,0.521
18.991,0.654
19.008,0.781
19.024,0.615
19.04,0.75
19.057,0.149
19.073,0.334
19.089,0.854
19.106,0.459
19.122,0.324
19.139,0.595
19.155,0.701
19.171,0.727
19.188,0.665
19.204,1.392
19.22,1.588
19.237,1.445
19.253,1.391
19.269,1.767
19.286,2.588
19.302,2.715
19.318,3.026
19.335,2.42
19.351,0.325
19.433,0.086
19.449,0.549
19.465,0.55
19.482,1.253
19.498,1.39
19.514,0.912
19.53,0.473
19.726,0.126
19.742,0.359
19.758,0.45
19.775,0.802
19.791,0.979
19.807,1.161
19.823,1.301
19.84,1.787
19.856,1.404
19.872,1.328
19.888,1.242
19.921,0.545
19.937,0.774
19.953,0.818
19.97,0.01
20.083,0.297
20.099,0.395
20.116,0.014
20.132,0.102
20.148,0.353
20.164,0.888
20.181,1.182
20.197,1.034
20.213,1.342
20.229,1.45
20.245,1.054
20.262,0.55
20.278,0.539
20.294,0.3
20.31,0.355
20.326,0.105
20.342,0.031
20.488,0.054
20.504,0.854
20.52,1.096
20.537,1.327
20.553,1.355
20.569,1.212
20.585,1.032
20.601,0.687
20.617,0.852
20.633,1.233
20.65,1.146
20.666,1.129
20.682,1.057
20.698,0.993
20.714,0.858
20.73,0.971
20.746,0.546
20.762,0.022
20.875,0.166
20.892,0.137
20.908,0.316
20.924,0.361
20.94,0.066
20.956,0.444
20.972,0.523
20.988,0.196
21.02,0.147
21.165,0.129
21.213,0.316
21.229,0.089
21.262,0.156
21.278,0.449
21.294,0.114
21.406,0.045
21.422,0.11
21.518,0.111
21.534,0.329
21.55,0.575
21.567,0.421
21.583,0.186
21.855,0.159
21.871,0.644
21.887,0.424
21.903,0.111
21.935,0.053
22.397,0.19
22.413,0.488
22.429,0.631
22.445,0.891
22.461,0.802
22.477,0.571
22.493,0.854
22.509,1.052
22.525,0.834
22.54,0.79
22.556,0.811
22.572,1.03
22.588,0.777
22.604,0.737
22.62,0.367
22.636,0.573
22.652,0.434
22.668,0.041
22.731,0.223
22.747,0.52
22.763,0.69
22.779,0.709
22.795,0.602
22.811,0.4
22.827,0.268
22.842,0.269
22.858,0.199
22.874,0.631
22.89,0.675
22.906,0.407
22.922,0.19
22.938,0.049
23.223,0.002
23.239,0.022
23.365,0.101
23.381,0.568
23.397,0.562
23.413,0.481
23.428,0.638
23.444,0.645
23.46,0.642
23.476,0.611
23.492,0.622
23.507,0.111
23.839,0.001
23.855,0.128
24.059,0.099
24.075,0.439
24.091,0.594
24.138,0.927
24.154,0.972
24.169,1.095
24.185,0.736
24.201,1.055
24.217,1.159
24.232,0.67
24.248,0.549
24.264,0.526
24.279,0.519
24.295,0.686
24.311,0.694
24.327,0.902
24.342,0.684
24.358,0.996
24.374,0.864
24.389,0.542
24.405,0.403
24.421,0.444
24.437,0.583
24.452,0.827
24.468,0.498
24.484,0.155
24.499,0.159
24.515,0.344
24.531,0.315
24.546,0.03
24.672,0.033
24.687,0.17
24.766,0.007
24.781,0.306
24.797,0.355
24.813,0.611
24.828,0.84
24.844,0.799
24.86,0.579
24.875,0.495
24.891,0.561
24.907,0.679
24.922,0.484
24.938,0.623
24.954,0.303
25.047,0.002
25.063,0.658
25.079,0.687
25.094,0.281
25.11,0.512
25.126,0.62
25.141,1.03
25.157,1.073
25.172,1.121
25.188,1.226
25.204,1.182
25.219,0.832
25.235,0.893
25.25,0.938
25.266,1.598
25.282,2.405
25.297,1.469
