Depth_m,nssS
1.696,-0.413
1.721,-0.37
1.745,-0.265
1.77,-0.185
1.795,-0.193
1.819,-0.278
1.844,-0.4
1.868,-0.586
1.893,-0.822
1.917,-1.118
1.942,-1.339
1.967,-1.423
1.991,-1.45
2.016,-1.442
2.04,-1.385
2.065,-1.24
2.089,-1.152
2.114,-1.08
2.139,-0.892
2.187,-0.619
2.211,-0.374
2.235,-0.243
2.259,-0.172
2.283,-0.214
2.307,-0.362
2.331,-0.498
2.355,-0.518
2.379,-0.567
2.403,-0.776
2.427,-0.894
2.451,-0.908
2.475,-0.918
2.499,-0.811
2.523,-0.614
2.547,-0.462
2.57,-0.302
2.594,-0.235
2.617,-0.197
2.641,-0.203
2.664,-0.308
2.687,-0.422
2.711,-0.62
2.734,-0.809
2.758,-0.978
2.781,-1.109
2.804,-1.209
2.828,-1.282
2.851,-1.26
2.874,-1.201
2.898,-1.142
2.921,-1.062
2.945,-0.922
2.968,-0.777
2.991,-0.546
3.015,-0.207
3.038,-0.061
3.061,0.022
3.085,0.117
3.108,0.248
3.131,0.203
3.154,0.195
3.177,0.052
3.199,-0.103
3.222,-0.296
3.245,-0.434
3.268,-0.622
3.291,-0.763
3.313,-0.866
3.336,-0.914
3.359,-0.903
3.382,-0.903
3.405,-0.842
3.427,-0.719
3.45,-0.571
3.473,-0.4
3.496,0.178
3.519,0.43
3.542,0.309
3.564,0.284
3.587,0.341
3.609,0.252
3.632,0.188
3.654,-0.024
3.676,-0.329
3.699,-0.638
3.721,-0.858
3.743,-1.03
3.766,-1.12
3.788,-1.112
3.81,-1.059
3.833,-1.01
3.855,-0.944
3.877,-0.816
3.9,-0.61
3.922,-0.361
3.944,-0.111
3.967,0.006
3.989,0.031
4.011,0.037
4.034,-0.042
4.056,-0.251
4.077,-0.511
4.099,-0.696
4.121,-0.906
4.143,-1.057
4.165,-1.115
4.187,-1.18
4.209,-1.157
4.231,-1.064
4.253,-0.894
4.275,-0.781
4.297,-0.639
4.319,-0.398
4.341,-0.167
4.363,-0.006
4.384,0.16
4.406,0.337
4.428,0.416
4.45,0.282
4.472,0.115
4.493,-0.094
4.515,-0.384
4.536,-0.548
4.558,-0.649
4.58,-0.725
4.601,-0.682
4.623,-0.528
4.644,-0.329
4.666,-0.128
4.687,0.072
4.709,0.296
4.731,0.541
4.752,0.685
4.774,0.705
4.795,0.701
4.817,0.587
4.859,0.553
4.881,0.252
4.902,-0.158
4.923,-0.467
4.945,-0.663
4.966,-0.617
4.987,-0.462
5.008,-0.147
5.03,0.304
5.051,0.912
5.072,1.425
5.094,1.584
5.115,1.64
5.136,1.626
5.157,1.4
5.178,1.01
5.199,0.712
5.22,0.455
5.241,0.203
5.262,-0.004
5.283,-0.182
5.304,-0.308
5.325,-0.406
5.346,-0.452
5.367,-0.44
5.388,-0.425
5.409,-0.415
5.43,-0.385
5.451,-0.241
5.472,-0.091
5.493,0.079
5.514,0.168
5.535,0.303
5.556,0.527
5.577,0.811
5.598,1.009
5.618,1.142
5.639,1.266
5.66,1.201
5.68,1.097
5.701,0.99
5.721,0.801
5.742,0.564
5.763,0.373
5.783,0.161
5.804,0.049
5.825,0.042
5.845,0.175
5.866,0.302
5.886,0.432
5.907,0.69
5.928,0.869
5.948,1.035
5.969,1.299
5.99,1.536
6.01,1.878
6.031,2.396
6.052,1.957
6.072,1.761
6.093,1.891
6.113,2.01
6.134,1.952
6.154,1.943
6.175,1.877
6.195,1.781
6.215,1.651
6.236,1.501
6.256,1.432
6.276,1.36
6.296,1.092
6.317,0.819
6.337,0.534
6.357,0.306
6.377,0.147
6.398,0.037
6.418,-0.108
6.438,-0.144
6.459,0.001
6.479,0.2
6.499,0.561
6.519,0.861
6.54,1.322
6.56,1.96
6.58,2.618
6.6,3.264
6.621,3.956
6.641,4.577
6.661,4.993
6.681,5.317
6.701,4.954
6.721,4.395
6.741,3.874
6.761,3.3
6.781,2.636
6.801,1.846
6.821,1.361
6.841,0.965
6.861,0.519
6.881,0.111
6.901,-0.206
6.921,-0.371
6.941,-0.478
6.961,-0.566
6.981,-0.54
7.001,-0.5
7.021,-0.456
7.041,-0.401
7.061,-0.32
7.081,-0.302
7.101,-0.323
7.12,-0.41
7.14,-0.53
7.16,-0.632
7.239,-0.558
7.259,-0.381
7.278,-0.167
7.298,-0.009
7.318,0.137
7.338,0.249
7.357,0.254
7.377,0.226
7.397,0.096
7.417,-0.026
7.436,-0.161
7.456,-0.352
7.476,-0.467
7.495,-0.526
7.515,-0.559
7.534,-0.647
7.554,-0.624
7.573,-0.537
7.593,-0.336
7.613,-0.057
7.632,0.154
7.652,0.405
7.671,0.572
7.691,0.806
7.71,0.971
7.73,0.921
7.75,0.935
7.769,0.848
7.789,0.715
7.808,0.608
7.827,0.332
7.847,0.125
7.866,-0.089
7.886,-0.274
7.905,-0.453
7.924,-0.61
7.944,-0.717
7.963,-0.75
7.982,-0.812
8.002,-0.835
8.021,-0.877
8.04,-0.917
8.06,-0.917
8.079,-0.859
8.098,-0.738
8.118,-0.692
8.137,-0.633
8.157,-0.561
8.176,-0.535
8.195,-0.477
8.215,-0.446
8.234,-0.499
8.253,-0.57
8.272,-0.631
8.291,-0.693
8.311,-0.793
8.33,-0.834
8.349,-0.795
8.368,-0.754
8.387,-0.613
8.407,-0.339
8.426,-0.123
8.445,0.078
8.464,0.204
8.483,0.32
8.502,0.404
8.522,0.41
8.541,0.407
8.56,0.307
8.579,0.092
8.598,-0.121
8.617,-0.228
8.636,-0.443
8.655,-0.602
8.674,-0.697
8.693,-0.865
8.712,-0.964
8.731,-0.944
8.75,-0.886
8.769,-0.847
8.788,-0.775
8.807,-0.681
8.826,-0.593
8.845,-0.533
8.864,-0.492
8.883,-0.489
8.902,-0.478
8.921,-0.485
8.94,-0.546
8.959,-0.645
8.978,-0.726
8.996,-0.863
9.015,-0.905
9.053,-0.988
9.072,-1.085
9.091,-1.121
9.11,-1.108
9.129,-1.062
9.147,-0.991
9.166,-0.912
9.185,-0.766
9.204,-0.541
9.223,-0.366
9.242,-0.238
9.261,-0.071
9.279,0.061
9.298,0.169
9.317,0.314
9.336,0.388
9.354,0.421
9.373,0.333
9.392,0.204
9.41,0.11
9.429,0.053
9.448,0.133
9.466,0.119
9.485,-0.022
9.504,-0.611
9.522,-0.557
9.541,-0.525
9.56,-0.527
9.578,-0.514
9.597,-0.479
9.616,-0.378
9.635,-0.241
9.653,-0.046
9.672,0.13
9.691,0.292
9.709,0.488
9.728,0.653
9.747,0.81
9.765,0.858
9.784,0.783
9.802,0.762
9.821,0.755
9.839,0.629
9.858,0.542
9.876,0.4
9.895,0.305
9.913,0.131
9.932,-0.096
9.95,-0.267
9.969,-0.344
9.987,-0.404
10.006,-0.363
10.024,-0.318
10.043,-0.267
10.062,-0.214
10.08,-0.121
10.099,-0.012
10.117,-0.045
10.135,-0.045
10.154,-0.081
10.172,-0.264
10.191,-0.442
10.209,-0.591
10.227,-0.714
10.246,-0.795
10.264,-0.835
10.282,-0.858
10.301,-0.876
10.319,-0.842
10.338,-0.821
10.356,-0.78
10.374,-0.666
10.393,-0.486
10.411,-0.301
10.43,-0.144
10.448,-0.046
10.466,-0.004
10.485,0.063
10.503,0.08
10.521,0.086
10.539,-0.018
10.558,-0.259
10.576,-0.462
10.594,-0.564
10.612,-0.631
10.631,-0.785
10.649,-0.936
10.667,-1.058
10.685,-1.112
10.704,-1.142
10.722,-1.122
10.74,-1.074
10.758,-0.96
10.777,-0.779
10.795,-0.622
10.813,-0.452
10.831,-0.244
10.85,-0.149
10.868,0.015
10.886,0.146
10.904,0.209
10.922,0.174
10.94,0.155
10.959,0.108
10.977,-0.027
10.995,-0.152
11.013,-0.235
11.031,-0.334
11.049,-0.504
11.067,-0.644
11.085,-0.595
11.103,-0.68
11.121,-0.831
11.14,-0.961
11.158,-1.011
11.176,-0.957
11.194,-0.87
11.212,-0.734
11.23,-0.634
11.248,-0.533
11.266,-0.388
11.284,-0.173
11.302,-0.069
11.32,-0.002
11.339,0.056
11.357,0.109
11.375,0.083
11.393,-0.06
11.411,-0.327
11.429,-0.535
11.446,-0.698
11.464,-0.837
11.482,-0.872
11.518,-0.861
11.536,-0.856
11.554,-0.845
11.572,-0.817
11.59,-0.742
11.608,-0.63
11.626,-0.502
11.644,-0.355
11.662,-0.229
11.68,-0.125
11.698,-0.016
11.716,0.074
11.734,0.147
11.752,0.161
11.77,0.143
11.788,0.187
11.805,0.234
11.823,0.403
11.841,0.629
11.859,0.788
11.877,0.873
11.895,1.106
11.913,1.332
11.93,1.421
11.948,1.588
11.966,1.662
11.984,1.663
12.002,1.543
12.02,1.406
12.037,1.154
12.055,0.782
12.073,0.506
12.091,0.372
12.108,0.233
12.126,-0.015
12.144,-0.262
12.162,-0.402
12.18,-0.448
12.197,-0.431
12.215,-0.27
12.233,-0.051
12.251,0.148
12.269,0.452
12.286,0.781
12.304,1.014
12.322,1.249
12.34,1.385
12.357,1.403
12.375,1.396
12.393,1.191
12.41,1.044
12.428,0.956
12.446,0.658
12.463,0.434
12.481,0.149
12.499,-0.119
12.516,-0.349
12.534,-0.471
12.552,-0.535
12.569,-0.433
12.587,-0.209
12.605,0.201
12.622,0.589
12.64,0.926
12.658,1.302
12.676,1.546
12.693,1.662
12.711,1.736
12.728,1.729
12.746,1.574
12.764,1.281
12.781,0.989
12.799,0.775
12.816,0.54
12.834,0.29
12.851,0.029
12.869,-0.249
12.887,-0.498
12.904,-0.626
12.922,-0.676
12.939,-0.642
12.957,-0.591
12.975,-0.576
12.992,-0.441
13.01,-0.293
13.027,-0.179
13.045,-0.114
13.062,-0.136
13.08,-0.22
13.097,-0.379
13.115,-0.606
13.132,-0.764
13.15,-0.8
13.167,-0.83
13.185,-0.772
13.202,-0.667
13.22,-0.633
13.237,-0.599
13.255,-0.612
13.272,-0.653
13.29,-0.67
13.307,-0.639
13.325,-0.681
13.342,-0.715
13.36,-0.803
13.377,-0.851
13.394,-0.944
13.412,-0.968
13.429,-0.957
13.447,-1.008
13.464,-1.101
13.482,-0.995
13.499,-0.935
13.517,-0.816
13.534,-0.614
13.551,-0.443
13.569,-0.341
13.586,-0.335
13.604,-0.192
13.621,0.07
13.638,0.491
13.656,0.338
13.673,-0.068
13.69,-0.386
13.708,-0.496
13.725,-0.547
13.742,-0.639
13.76,-0.735
13.777,-0.892
13.794,-0.964
13.812,-0.916
13.846,-0.919
13.864,-0.906
13.881,-0.883
13.898,-0.82
13.916,-0.748
13.933,-0.772
13.95,-0.735
13.968,-0.463
13.985,-0.034
14.003,0.207
14.02,0.317
14.037,0.454
14.054,0.544
14.072,0.323
14.089,0.159
14.106,0.19
14.227,0.028
14.244,-0.163
14.262,0.063
14.279,0.235
14.296,0.297
14.313,0.339
14.331,0.364
14.348,0.272
14.365,0.199
14.382,0.051
14.399,-0.117
14.416,-0.306
14.434,-0.503
14.451,-0.675
14.468,-0.818
14.485,-0.951
14.502,-1.028
14.52,-1.042
14.537,-1.025
14.554,-1.023
14.571,-0.954
14.588,-0.807
14.606,-0.698
14.623,-0.624
14.64,-0.513
14.657,-0.314
14.674,-0.21
14.691,-0.123
14.709,-0.046
14.726,0.079
14.743,0.096
14.76,0.097
14.777,0.147
14.794,0.08
14.811,0.039
14.828,0.107
14.845,0.144
14.863,0.302
14.88,0.603
14.897,0.913
14.914,1.166
14.931,1.461
14.948,1.61
14.965,1.562
14.982,1.491
14.999,1.336
15.016,1.065
15.033,0.828
15.05,0.645
15.068,0.246
15.085,-0.149
15.102,-0.38
15.119,-0.585
15.136,-0.76
15.153,-0.871
15.17,-0.925
15.187,-0.968
15.204,-1.002
15.221,-0.956
15.238,-0.898
15.255,-0.851
15.272,-0.782
15.289,-0.696
15.306,-0.582
15.323,-0.483
15.34,-0.431
15.357,-0.361
15.374,-0.24
15.391,-0.164
15.408,-0.22
15.425,-0.293
15.442,-0.512
15.476,-0.594
15.493,-0.566
15.51,-0.544
15.527,-0.453
15.544,-0.337
15.561,-0.243
15.578,-0.035
15.595,0.123
15.612,0.375
15.629,0.591
15.646,0.692
15.663,0.748
15.68,0.753
15.697,0.8
15.714,0.745
15.73,0.608
15.747,0.229
15.764,-0.122
15.781,-0.422
15.798,-0.514
15.815,-0.468
15.832,-0.511
15.849,-0.667
15.866,-0.596
15.883,-0.574
15.9,-0.436
15.916,-0.299
15.933,-0.195
15.95,-0.02
15.967,0.126
15.984,0.146
16.001,0.03
16.018,-0.09
16.035,-0.184
16.051,-0.115
16.068,-0.081
16.085,0.007
16.102,0.177
16.119,0.365
16.136,0.627
16.152,0.863
16.169,1.178
16.186,1.581
16.203,1.87
16.22,2.098
16.237,2.568
16.254,3.096
16.27,3.189
16.287,3.325
16.304,3.585
16.321,3.576
16.338,3.413
16.355,3.033
16.371,2.739
16.388,2.427
16.405,2.041
16.422,1.747
16.438,1.554
16.455,1.564
16.472,1.37
16.489,1.283
16.506,1.167
16.522,1.129
16.539,1.169
16.556,1.371
16.573,1.553
16.59,1.683
16.606,1.695
16.623,1.631
16.64,1.748
16.657,1.822
16.673,1.74
16.69,1.563
16.707,1.507
16.724,1.428
16.74,1.506
16.757,1.863
16.774,1.634
16.791,1.054
16.807,0.321
16.824,-0.086
16.841,-0.275
16.857,-0.389
16.874,-0.396
16.891,-0.459
16.908,-0.478
16.924,-0.579
16.941,-0.551
16.958,-0.595
16.974,-0.537
16.991,-0.285
17.008,0.167
17.025,0.287
17.041,0.349
17.058,0.024
17.075,-0.364
17.091,-0.589
17.108,-0.622
17.125,-0.673
17.141,-0.791
17.158,-0.869
17.175,-0.914
17.191,-0.907
17.208,-0.881
17.225,-0.837
17.241,-0.743
17.258,-0.499
17.275,-0.158
17.291,0.28
17.308,0.45
17.324,0.311
17.341,0.298
17.358,0.399
17.374,0.46
17.391,0.334
17.408,0.255
17.424,0.069
17.441,0.011
17.457,0.169
17.474,0.334
17.491,0.427
17.507,0.436
17.524,0.544
17.541,0.696
17.557,0.701
17.574,0.592
17.59,0.472
17.607,0.288
17.623,-0.039
17.64,-0.358
17.657,-0.615
17.673,-0.748
17.69,-0.537
17.706,-0.352
17.723,-0.471
17.739,-0.937
17.756,-0.779
17.772,-0.798
17.789,-0.752
17.806,-0.757
17.822,-0.716
17.839,-0.71
17.855,-0.699
