Depth_m,nssS_Na_ratio
1.696,-0.644
1.721,-0.637
1.745,-0.612
1.77,-0.591
1.795,-0.634
1.819,-0.703
1.844,-0.8
1.868,-0.888
1.893,-0.97
1.917,-1.063
1.942,-1.126
1.967,-1.127
1.991,-1.092
2.016,-1.009
2.04,-0.798
2.065,-0.435
2.089,-0.239
2.114,-0.247
2.139,-0.449
2.187,-0.645
2.211,-0.739
2.235,-0.829
2.259,-0.907
2.283,-0.97
2.307,-1.027
2.331,-1.059
2.355,-1.032
2.379,-0.978
2.403,-0.93
2.427,-0.861
2.451,-0.684
2.475,-0.485
2.499,-0.123
2.523,0.409
2.547,1.033
2.57,1.418
2.594,1.335
2.617,1.17
2.641,0.863
2.664,0.409
2.687,0.05
2.711,-0.34
2.734,-0.635
2.758,-0.858
2.781,-1.003
2.804,-1.082
2.828,-1.131
2.851,-1.128
2.874,-1.094
2.898,-1.013
2.921,-0.839
2.945,-0.472
2.968,0.039
2.991,0.469
3.015,0.762
3.038,0.822
3.061,0.627
3.085,0.36
3.108,0.25
3.131,-0.046
3.154,-0.22
3.177,-0.431
3.199,-0.585
3.222,-0.71
3.245,-0.787
3.268,-0.883
3.291,-0.951
3.313,-0.989
3.336,-0.997
3.359,-0.973
3.382,-0.947
3.405,-0.902
3.427,-0.809
3.45,-0.715
3.473,-0.638
3.496,-0.49
3.519,-0.411
3.542,-0.405
3.564,-0.407
3.587,-0.422
3.609,-0.48
3.632,-0.519
3.654,-0.579
3.676,-0.675
3.699,-0.755
3.721,-0.774
3.743,-0.778
3.766,-0.765
3.788,-0.751
3.81,-0.741
3.833,-0.744
3.855,-0.734
3.877,-0.681
3.9,-0.548
3.922,-0.249
3.944,0.216
3.967,0.568
3.989,0.883
4.011,1.051
4.034,1.008
4.056,0.731
4.077,0.44
4.099,0.102
4.121,-0.209
4.143,-0.407
4.165,-0.557
4.187,-0.728
4.209,-0.78
4.231,-0.803
4.253,-0.776
4.275,-0.768
4.297,-0.722
4.319,-0.623
4.341,-0.501
4.363,-0.385
4.384,-0.303
4.406,-0.237
4.428,-0.235
4.45,-0.429
4.472,-0.574
4.493,-0.676
4.515,-0.805
4.536,-0.867
4.558,-0.89
4.58,-0.908
4.601,-0.894
4.623,-0.84
4.644,-0.743
4.666,-0.625
4.687,-0.508
4.709,-0.366
4.731,-0.206
4.752,-0.11
4.774,-0.132
4.795,-0.194
4.817,-0.288
4.859,-0.323
4.881,-0.421
4.902,-0.563
4.923,-0.671
4.945,-0.694
4.966,-0.645
4.987,-0.556
5.008,-0.396
5.03,-0.128
5.051,0.285
5.072,0.778
5.094,1.081
5.115,1.191
5.136,1.084
5.157,0.882
5.178,0.512
5.199,0.253
5.22,0.088
5.241,-0.063
5.262,-0.162
5.283,-0.287
5.304,-0.369
5.325,-0.459
5.346,-0.502
5.367,-0.522
5.388,-0.519
5.409,-0.511
5.43,-0.5
5.451,-0.391
5.472,-0.25
5.493,-0.03
5.514,0.142
5.535,0.328
5.556,0.551
5.577,0.812
5.598,0.961
5.618,1.03
5.639,1.074
5.66,0.879
5.68,0.693
5.701,0.642
5.721,0.576
5.742,0.387
5.763,0.239
5.783,0.143
5.804,0.107
5.825,0.143
5.845,0.203
5.866,0.16
5.886,0.146
5.907,0.195
5.928,0.177
5.948,0.184
5.969,0.218
5.99,0.218
6.01,0.137
6.031,0.434
6.052,0.605
6.072,0.647
6.093,0.726
6.113,0.892
6.134,0.734
6.154,0.565
6.175,0.342
6.195,0.154
6.215,-0.043
6.236,-0.199
6.256,-0.287
6.276,-0.372
6.296,-0.487
6.317,-0.582
6.337,-0.653
6.357,-0.704
6.377,-0.741
6.398,-0.736
6.418,-0.706
6.438,-0.63
6.459,-0.464
6.479,-0.163
6.499,0.285
6.519,0.766
6.54,1.672
6.56,3.033
6.58,4.755
6.6,6.944
6.621,9.207
6.641,12.086
6.701,11.688
6.721,9.493
6.741,7.398
6.761,5.081
6.781,3.496
6.801,2.309
6.821,1.588
6.841,0.972
6.861,0.548
6.881,0.206
6.901,-0.023
6.921,-0.111
6.941,-0.122
6.961,-0.088
6.981,0.036
7.001,0.283
7.021,0.598
7.041,0.984
7.061,1.481
7.081,1.899
7.101,2.134
7.12,2.55
7.14,3.04
7.16,1.311
7.239,-0.563
7.259,-0.505
7.278,-0.399
7.298,-0.296
7.318,-0.108
7.338,0.063
7.357,0.049
7.377,-0.024
7.397,-0.175
7.417,-0.308
7.436,-0.43
7.456,-0.567
7.476,-0.639
7.495,-0.671
7.515,-0.692
7.534,-0.721
7.554,-0.701
7.573,-0.625
7.593,-0.448
7.613,-0.12
7.632,0.323
7.652,0.864
7.671,1.518
7.691,2.24
7.71,2.676
7.73,2.711
7.75,2.411
7.769,1.817
7.789,1.335
7.808,0.938
7.827,0.561
7.847,0.274
7.866,0.028
7.886,-0.173
7.905,-0.404
7.924,-0.572
7.944,-0.658
7.963,-0.701
7.982,-0.744
8.002,-0.727
8.021,-0.724
8.04,-0.736
8.06,-0.726
8.079,-0.674
8.098,-0.579
8.118,-0.539
8.137,-0.478
8.157,-0.441
8.176,-0.447
8.195,-0.465
8.215,-0.526
8.234,-0.645
8.253,-0.751
8.272,-0.818
8.291,-0.879
8.311,-0.931
8.33,-0.953
8.349,-0.942
8.368,-0.924
8.387,-0.893
8.407,-0.805
8.426,-0.686
8.445,-0.579
8.464,-0.438
8.483,-0.272
8.502,-0.11
8.522,-0.035
8.541,-0.073
8.56,-0.192
8.579,-0.352
8.598,-0.505
8.617,-0.59
8.636,-0.693
8.655,-0.76
8.674,-0.796
8.693,-0.847
8.712,-0.861
8.731,-0.818
8.75,-0.744
8.769,-0.668
8.788,-0.613
8.807,-0.596
8.826,-0.618
8.845,-0.697
8.864,-0.78
8.883,-0.851
8.902,-0.881
8.921,-0.918
8.94,-0.947
8.959,-0.97
8.978,-0.979
8.996,-0.967
9.015,-0.901
9.053,-0.769
9.072,-0.678
9.091,-0.635
9.11,-0.615
9.129,-0.604
9.147,-0.573
9.166,-0.543
9.185,-0.483
9.204,-0.365
9.223,-0.279
9.242,-0.231
9.261,-0.184
9.279,-0.167
9.298,-0.183
9.317,-0.199
9.336,-0.227
9.354,-0.293
9.373,-0.396
9.392,-0.5
9.41,-0.58
9.429,-0.646
9.448,-0.736
9.466,-0.749
9.485,-0.752
9.504,-0.838
9.522,-0.81
9.541,-0.748
9.56,-0.689
9.578,-0.6
9.597,-0.5
9.616,-0.366
9.635,-0.285
9.653,-0.199
9.672,-0.09
9.691,-0.016
9.709,0.088
9.728,0.187
9.747,0.233
9.765,0.198
9.784,0.114
9.802,0.085
9.821,0.038
9.839,-0.034
9.858,-0.144
9.876,-0.224
9.895,-0.297
9.913,-0.343
9.932,-0.422
9.95,-0.446
9.969,-0.419
9.987,-0.361
10.006,-0.218
10.024,-0.064
10.043,0.108
10.062,0.282
10.08,0.394
10.099,0.451
10.117,0.272
10.135,0.059
10.154,-0.162
10.172,-0.367
10.191,-0.499
