Depth_m,Sr
1.486,0.878
1.512,0.976
1.538,1.074
1.696,0.05
1.721,0.236
1.745,0.423
1.77,0.611
1.795,0.989
1.819,1.555
1.844,1.933
1.868,2.216
1.893,2.216
1.917,2.122
1.942,1.65
1.967,0.709
2.211,0.045
2.235,0.611
2.259,1.176
2.283,1.554
2.307,2.12
2.331,2.123
2.355,1.468
2.379,0.626
2.403,0.065
2.781,0.156
2.804,0.626
2.828,1.002
2.851,1.378
2.874,1.003
2.898,0.064
3.199,0.001
3.222,0.283
3.245,0.565
3.268,0.847
3.291,1.036
3.313,1.036
3.336,1.035
3.359,0.939
3.382,0.654
3.405,0.462
3.427,0.175
3.542,0.069
3.564,0.072
3.587,0.262
3.609,0.358
3.632,0.546
3.654,0.637
3.676,0.633
3.699,0.438
3.721,0.147
4.275,0.191
4.297,0.375
4.319,0.37
4.341,0.083
4.472,0.047
4.493,0.703
4.515,1.454
4.536,1.924
4.558,1.644
4.58,1.27
4.601,1.271
4.623,1.365
4.644,1.366
4.666,1.086
4.687,0.617
4.709,0.055
4.795,0.054
4.817,0.24
4.838,0.427
4.859,0.426
4.881,0.331
4.902,0.144
4.923,0.05
5.008,0.055
5.03,0.058
5.367,0.166
5.388,0.168
5.409,0.264
5.43,0.172
5.68,0.088
5.701,0.089
6.01,0.197
6.031,0.48
6.052,0.294
6.215,0.484
6.236,1.046
6.256,1.515
6.276,1.701
6.296,1.794
6.317,1.792
6.337,1.979
6.357,2.167
6.377,2.262
6.398,1.701
6.418,0.766
7.219,0.114
7.239,0.209
7.259,0.397
7.278,0.399
7.298,0.12
7.436,0.136
7.456,0.514
7.476,0.798
7.495,0.987
7.515,0.893
7.534,0.703
7.554,0.607
7.573,0.228
7.924,0.024
7.944,0.117
7.963,0.303
7.982,0.49
8.002,0.49
8.021,0.396
8.04,0.209
8.06,0.021
8.234,0.195
8.253,0.473
8.272,0.938
8.291,1.497
8.311,1.87
8.33,2.244
8.349,2.243
8.368,2.054
8.387,1.96
8.407,1.677
8.426,1.393
8.445,1.012
8.464,0.539
8.483,0.068
8.598,0.168
8.617,0.639
8.636,1.017
8.655,1.395
8.674,1.773
8.693,1.962
8.712,1.681
8.731,0.836
8.864,0.608
8.883,1.448
8.902,2.382
8.921,3.316
8.94,4.252
8.959,4.626
8.978,4.719
8.996,4.343
9.015,3.31
9.034,1.715
9.053,0.307
9.373,0.157
9.392,0.534
9.41,1.005
9.429,1.664
9.448,2.135
9.466,2.419
9.485,2.608
9.504,2.515
9.522,2.14
9.541,1.859
9.56,1.39
9.578,0.359
9.802,0.023
9.821,0.304
9.839,0.304
9.858,0.399
9.876,0.493
9.895,0.306
9.913,0.212
9.932,0.023
10.191,0.28
10.209,0.745
10.227,0.831
10.246,0.446
11.067,0.065
11.085,0.251
11.103,0.344
11.121,0.533
11.14,0.254
11.393,0.08
11.411,0.735
11.429,1.297
11.446,1.671
11.464,1.858
11.482,1.763
11.5,1.387
11.518,1.105
11.536,0.821
11.554,0.722
11.572,0.527
11.59,0.333
11.608,0.232
12.108,0.474
12.126,0.752
12.144,0.467
12.162,0.09
12.251,0.007
12.269,0.103
12.286,0.012
12.428,0.457
12.446,1.105
12.463,1.569
12.481,1.941
12.499,1.845
12.516,1.375
12.534,0.342
12.799,0.024
12.816,0.771
12.834,1.801
12.851,2.36
12.869,2.262
12.887,1.415
12.904,0.849
12.922,0.377
13.062,1.719
13.08,1.063
13.097,0.501
13.342,0.61
13.36,1.723
13.377,2.646
13.394,3.38
13.412,3.457
13.429,3.348
13.447,3.146
13.464,2.668
13.482,2.287
13.499,1.722
13.517,0.785
13.673,0.344
13.69,1.091
13.708,1.837
13.725,2.397
13.742,2.583
13.76,2.301
13.777,1.738
13.794,0.801
13.812,0.145
14.468,0.005
14.485,0.569
14.502,1.32
14.52,1.789
14.537,1.507
14.554,0.757
14.571,0.568
14.588,0.848
14.606,0.939
14.623,0.559
14.726,0.173
14.743,1.489
14.76,3.087
14.777,4.404
14.794,4.03
14.811,1.966
15.05,0.029
15.068,1.06
15.085,1.903
15.102,2.09
15.119,1.617
15.136,1.044
15.153,0.937
15.17,0.925
15.187,1.011
15.204,1.384
15.221,1.946
15.238,2.415
15.255,2.603
15.272,2.227
15.289,1.662
15.306,0.908
15.323,0.152
15.442,0.413
15.459,1.071
15.476,0.978
15.493,0.041
15.527,1.638
15.544,1.921
15.561,1.829
15.578,1.643
15.595,0.799
16.001,0.891
16.018,2.017
16.035,2.392
16.051,2.11
16.068,1.266
16.085,0.329
16.472,0.001
16.489,0.375
16.506,0.656
16.522,0.466
16.74,1.012
16.757,2.323
16.774,3.164
16.791,2.786
16.807,1.376
17.025,0.694
17.041,1.913
17.058,2.757
17.075,3.039
17.091,2.476
17.108,1.537
17.125,0.787
17.141,0.319
17.158,0.04
17.175,0.513
17.191,1.55
17.208,0.897
17.225,0.992
17.241,1.743
17.258,1.086
17.607,0.431
17.623,2.121
17.64,4.093
17.657,5.505
17.673,6.355
17.69,6.739
17.706,6.654
17.723,6.475
17.739,5.92
17.756,4.894
17.772,3.679
17.789,2.65
17.806,2.182
17.822,1.901
17.839,1.337
17.855,0.49
17.938,0.578
17.955,0.674
17.971,0.865
17.988,0.87
18.334,0.804
18.351,1.741
18.367,2.489
18.384,2.206
18.4,1.734
18.417,1.073
18.433,0.317
18.827,0.036
18.844,0.508
18.86,0.323
19.04,0.089
19.057,0.842
19.073,1.405
19.089,1.592
19.106,1.685
19.122,1.589
19.139,1.399
19.155,1.396
19.171,1.3
19.188,1.204
19.204,0.735
19.22,0.36
19.302,0.095
19.318,1.508
19.335,4.14
19.351,6.489
19.449,5.648
19.465,3.117
19.482,0.961
19.579,0.328
19.596,1.457
19.612,1.928
19.628,1.835
19.644,1.084
19.661,0.052
19.872,0.569
19.888,1.321
19.905,2.166
19.921,3.197
19.937,4.041
19.953,4.698
19.97,5.544
19.986,6.389
20.002,6.578
20.018,6.111
20.034,4.799
20.051,2.643
20.067,0.863
20.245,0.012
20.262,0.291
20.278,0.48
20.294,0.39
20.423,0.506
20.44,1.259
20.456,1.542
20.472,1.261
20.488,0.416
20.601,0.208
20.617,0.677
20.633,0.866
20.65,0.867
20.666,0.869
20.682,0.778
20.698,0.873
20.714,0.969
20.73,1.066
20.746,1.258
20.762,1.074
20.779,0.984
20.795,0.798
20.811,0.612
20.827,0.518
20.843,0.331
20.859,0.143
20.956,0.042
20.972,0.699
20.988,1.359
21.004,1.928
21.02,2.309
21.036,2.595
21.053,2.598
21.069,2.412
21.085,2.226
21.101,2.04
21.117,1.666
21.133,1.104
21.149,0.447
21.39,0.111
21.406,0.398
21.422,0.59
21.438,0.689
21.454,0.695
21.47,0.605
21.486,0.512
21.502,0.137
21.935,0.099
21.951,0.673
21.967,1.057
21.982,1.065
21.998,0.977
22.014,0.796
22.03,0.707
22.046,0.616
22.062,0.522
22.078,0.333
22.094,0.048
22.286,0.502
22.302,1.065
