Depth	Count	Age
113.113	1.0	1255.5
113.166	0.5	1256.0
113.21	1.0	1257.0
113.292	1.0	1258.0
113.367	1.0	1259.0
113.428	1.0	1260.0
113.478	0.5	1260.5
113.546	1.0	1261.5
113.652	1.0	1262.5
113.732	1.0	1263.5
113.849	1.0	1264.5
113.912	1.0	1265.5
113.981	1.0	1266.5
114.059	1.0	1267.5
114.14	1.0	1268.5
114.217	1.0	1269.5
114.253	1.0	1270.5
114.317	1.0	1271.5
114.414	1.0	1272.5
114.47	1.0	1273.5
114.562	1.0	1274.5
114.623	1.0	1275.5
114.713	0.5	1276.0
114.78	1.0	1277.0
114.87	1.0	1278.0
114.971	1.0	1279.0
115.046	1.0	1280.0
115.124	1.0	1281.0
115.202	1.0	1282.0
115.258	1.0	1283.0
115.309	0.5	1283.5
115.34	1.0	1284.5
115.368	0.5	1285.0
115.434	1.0	1286.0
115.511	1.0	1287.0
115.574	1.0	1288.0
115.655	1.0	1289.0
115.702	1.0	1290.0
115.784	1.0	1291.0
115.841	1.0	1292.0
115.91	1.0	1293.0
115.961	1.0	1294.0
116.064	1.0	1295.0
116.104	1.0	1296.0
116.168	1.0	1297.0
116.245	1.0	1298.0
116.304	1.0	1299.0
116.343	1.0	1300.0
116.433	1.0	1301.0
116.473	1.0	1302.0
116.541	1.0	1303.0
116.592	1.0	1304.0
116.678	1.0	1305.0
116.728	1.0	1306.0
116.798	1.0	1307.0
116.861	1.0	1308.0
116.923	1.0	1309.0
116.994	1.0	1310.0
117.056	1.0	1311.0
117.124	1.0	1312.0
117.214	1.0	1313.0
117.281	1.0	1314.0
117.351	1.0	1315.0
117.42	1.0	1316.0
117.5	1.0	1317.0
117.57	1.0	1318.0
117.657	1.0	1319.0
117.705	1.0	1320.0
117.76	1.0	1321.0
117.818	1.0	1322.0
117.913	1.0	1323.0
117.998	1.0	1324.0
118.08	1.0	1325.0
118.156	1.0	1326.0
118.216	1.0	1327.0
118.27	1.0	1328.0
118.349	1.0	1329.0
118.402	1.0	1330.0
118.478	1.0	1331.0
118.561	1.0	1332.0
118.605	1.0	1333.0
118.717	1.0	1334.0
118.784	1.0	1335.0
118.845	1.0	1336.0
118.9	1.0	1337.0
118.965	1.0	1338.0
119.027	1.0	1339.0
119.082	1.0	1340.0
119.149	1.0	1341.0
119.199	1.0	1342.0
119.273	1.0	1343.0
119.349	1.0	1344.0
119.406	1.0	1345.0
119.477	1.0	1346.0
119.59	1.0	1347.0
119.715	1.0	1348.0
119.792	1.0	1349.0
119.873	1.0	1350.0
119.922	1.0	1351.0
120.012	1.0	1352.0
120.103	1.0	1353.0
120.155	1.0	1354.0
120.204	1.0	1355.0
120.257	1.0	1356.0
120.314	1.0	1357.0
120.355	1.0	1358.0
120.408	0.5	1358.5
120.488	1.0	1359.5
120.546	1.0	1360.5
120.61	1.0	1361.5
120.689	1.0	1362.5
120.743	1.0	1363.5
120.836	1.0	1364.5
120.876	1.0	1365.5
120.909	1.0	1366.5
120.972	1.0	1367.5
121.068	1.0	1368.5
121.128	1.0	1369.5
121.229	1.0	1370.5
121.261	1.0	1371.5
121.313	1.0	1372.5
121.371	1.0	1373.5
121.502	1.0	1374.5
121.598	1.0	1375.5
121.672	1.0	1376.5
121.738	1.0	1377.5
121.789	1.0	1378.5
121.851	1.0	1379.5
121.919	1.0	1380.5
121.958	1.0	1381.5
122.013	1.0	1382.5
122.104	1.0	1383.5
122.184	1.0	1384.5
122.225	1.0	1385.5
122.31	1.0	1386.5
122.392	1.0	1387.5
122.449	1.0	1388.5
122.539	1.0	1389.5
122.594	0.5	1390.0
122.659	1.0	1391.0
122.716	1.0	1392.0
122.782	1.0	1393.0
122.867	1.0	1394.0
122.925	0.5	1394.5
122.977	1.0	1395.5
123.069	1.0	1396.5
123.17	1.0	1397.5
123.215	1.0	1398.5
123.282	1.0	1399.5
123.372	1.0	1400.5
123.463	1.0	1401.5
123.569	1.0	1402.5
123.628	1.0	1403.5
123.703	1.0	1404.5
123.775	1.0	1405.5
123.837	0.5	1406.0
123.883	1.0	1407.0
123.957	1.0	1408.0
124.003	1.0	1409.0
124.064	1.0	1410.0
124.114	1.0	1411.0
124.244	1.0	1412.0
124.311	1.0	1413.0
124.425	1.0	1414.0
124.463	1.0	1415.0
124.534	1.0	1416.0
124.614	1.0	1417.0
124.697	0.5	1417.5
124.73	1.0	1418.5
124.818	1.0	1419.5
124.895	1.0	1420.5
124.96	1.0	1421.5
125.027	1.0	1422.5
125.057	1.0	1423.5
125.106	1.0	1424.5
125.182	1.0	1425.5
