#Includes WDC-EDML tiepoints from Sigl email file, sent on Jan 14 2025 (forwarded by Christo)
depth1	depth2	reference
116.73104	322.34807170000005	SiglEmail
117.54135	325.098873	SiglEmail
117.72299	325.89542510000007	SiglEmail
120.45403	335.5396561270156	SiglEmail
125.26665	351.4176211	SiglEmail
127.65835	359.7404968	SiglEmail
130.93309	371.03780922604335	SiglEmail
134.70264	384.65864639999995	SiglEmail
140.2718	404.1972980183391	SiglEmail
140.86577	406.2080103096288	SiglEmail
143.61147	415.4074022	SiglEmail
146.20583	423.75660480000005	SiglEmail
148.267	430.0846216	SiglEmail
150.42023	437.594601	SiglEmail
152.85458	445.61862949999994	SiglEmail
154.75159	451.86583410000003	SiglEmail
155.97932	455.93796080000004	SiglEmail
156.17424	456.55772876913215	SiglEmail
157.202	460.3190840000001	SiglEmail
164.37244	486.0596784	SiglEmail
165.25127	489.04672039999997	SiglEmail
167.07225	495.09310740000006	SiglEmail
169.57805	503.8417492	SiglEmail
170.47125	507.5571347	SiglEmail
173.83083	518.5226950783392	SiglEmail
175.37508	523.9343336	SiglEmail
178.07016	532.9178968	SiglEmail
180.49374	541.5053158000001	SiglEmail
187.3164	565.2854150448512	SiglEmail
189.50284	572.2561386782207	SiglEmail
190.59402	576.1049292	SiglEmail
192.76805	583.93146	SiglEmail
199.03664	605.45166	SiglEmail
202.90623	619.4813	SiglEmail
212.11398	651.91296	SiglEmail
230.56233	711.2281	SiglEmail
233.15553	719.9488	SiglEmail
241.73041	747.75867	SiglEmail
246.91953	765.3011	SiglEmail
253.5215	788.57196	SiglEmail
256.4855	797.8484	SiglEmail
257.09448	799.88477	SiglEmail
265.80096	828.4527	SiglEmail
269.60794	841.50507	SiglEmail
270.72076	845.09717	SiglEmail
272.30182	850.8913	SiglEmail
274.51605	858.1846	SiglEmail
276.29614	864.3364	SiglEmail
285.69812	895.5699	SiglEmail
286.4422	898.19855	SiglEmail
289.3242	907.6152	SiglEmail
292.4305	918.47107	SiglEmail
296.29797	931.43616	SiglEmail
310.93356	978.5173	SiglEmail
313.46555	986.9006	SiglEmail
316.23914	994.9157	SiglEmail
319.11456	1004.0071	SiglEmail
320.4018	1007.7121	SiglEmail
322.3789	1014.5092	SiglEmail
323.22446	1017.1284	SiglEmail
324.8647	1022.2327	SiglEmail
329.58057	1036.5537	SiglEmail
336.12045	1057.4629	SiglEmail
338.09985	1063.5288	SiglEmail
349.69986	1098.9956	SiglEmail
355.9677	1118.5132	SiglEmail
361.81177	1137.6896	SiglEmail
363.65863	1143.8743	SiglEmail
371.988	1169.4562	SiglEmail
378.9124	1191.398	SiglEmail
380.6237	1196.9724	SiglEmail
384.7667	1210.065	SiglEmail
391.991	1232.8859	SiglEmail
392.56378	1234.857	SiglEmail
392.87128	1235.9896	SiglEmail
395.43683	1244.0983	SiglEmail
399.2419	1255.7721	SiglEmail
409.5129	1285.868	SiglEmail
412.6891	1294.5082	SiglEmail
417.1532	1307.8492	SiglEmail
420.85272	1317.931	SiglEmail
429.00885	1341.8317	SiglEmail
429.17584	1342.3778	SiglEmail
430.62222	1346.7158	SiglEmail
431.2381	1348.8774	SiglEmail
437.42056	1367.891	SiglEmail
438.98935	1372.745	SiglEmail
442.63986	1383.925	SiglEmail
447.8631	1399.408	SiglEmail
448.303	1400.7589	SiglEmail
459.39908	1434.0137	SiglEmail
467.27618	1457.0466	SiglEmail
469.72574	1463.6526	SiglEmail
474.0148	1475.1256	SiglEmail
477.04895	1483.5099	SiglEmail
493.6006	1526.0293	SiglEmail
507.6956	1562.1621	SiglEmail
508.3324	1563.6228	SiglEmail
513.25195	1576.2982	SiglEmail
518.7723	1590.496	SiglEmail
523.07635	1601.632	SiglEmail
525.50995	1607.9102	SiglEmail
526.5819	1610.7223	SiglEmail
527.34814	1612.6929	SiglEmail
528.2267	1614.984	SiglEmail
529.89307	1619.2242	SiglEmail
531.9081	1624.0841	SiglEmail
535.57574	1633.2467	SiglEmail
540.86395	1645.8652	SiglEmail
543.3091	1652.2087	SiglEmail
543.67114	1653.0265	SiglEmail
551.55554	1672.1598	SiglEmail
554.9326	1679.9392	SiglEmail
555.3609	1680.9115	SiglEmail
559.29626	1689.9354	SiglEmail
559.5464	1690.5981	SiglEmail
565.018	1702.9714	SiglEmail
571.81116	1717.7504	SiglEmail
576.70154	1728.8807	SiglEmail
577.56354	1730.8689	SiglEmail
578.3281	1733.0496	SiglEmail
582.637	1742.8265	SiglEmail
583.2178	1744.2477	SiglEmail
588.22437	1756.5646	SiglEmail
589.93036	1760.0035	SiglEmail
593.32886	1767.9233	SiglEmail
595.3486	1772.3689	SiglEmail
596.6662	1775.4161	SiglEmail
598.31744	1779.4528	SiglEmail
600.41113	1784.04	SiglEmail
603.89734	1792.1006	SiglEmail
604.74426	1794.1978	SiglEmail
606.8886	1799.227	SiglEmail
608.4191	1802.6307	SiglEmail
610.4289	1806.9817	SiglEmail
611.21814	1808.9443	SiglEmail
618.1479	1824.5197	SiglEmail
622.07715	1833.0929	SiglEmail
623.49335	1836.3367	SiglEmail
624.9439	1839.5005	SiglEmail
625.59125	1840.9158	SiglEmail
626.93835	1844.1134	SiglEmail
629.8852	1850.3486	SiglEmail
633.07367	1857.6997	SiglEmail
637.45514	1867.7178	SiglEmail
639.9801	1873.1989	SiglEmail
641.4177	1876.3744	SiglEmail
648.22894	1891.8303	SiglEmail
648.54456	1892.4725	SiglEmail
650.2584	1896.6278	SiglEmail
651.35614	1899.2833	SiglEmail
655.8864	1910.1608	SiglEmail
656.3785	1911.3043	SiglEmail
657.72406	1914.6821	SiglEmail
658.8463	1917.5452	SiglEmail
