#Sigl WDC-GRIP. Mostly volcanic.
depth1	depth2	reference
139.3839	139.1365	Sigl_WDC_GRIP
143.15456	142.90114	Sigl_WDC_GRIP
181.31995	182.41005	Sigl_WDC_GRIP
187.29059	188.45998	Sigl_WDC_GRIP
205.9964	208.83713	Sigl_WDC_GRIP
219.5368	223.29808	Sigl_WDC_GRIP
256.15244	264.103	Sigl_WDC_GRIP
269.39	279.3105	Sigl_WDC_GRIP
309.70468	325.77286	Sigl_WDC_GRIP
320.86798	339.464	Sigl_WDC_GRIP
331.87845	351.35205	Sigl_WDC_GRIP
338.89203	359.6614	Sigl_WDC_GRIP
339.8614	361.01752	Sigl_WDC_GRIP
356.2628	380.16846	Sigl_WDC_GRIP
394.24423	423.70557	Sigl_WDC_GRIP
413.21722	445.54684	Sigl_WDC_GRIP
475.05817	518.4427	Sigl_WDC_GRIP
479.29388	523.8032	Sigl_WDC_GRIP
486.67575	532.688	Sigl_WDC_GRIP
493.0477	541.39795	Sigl_WDC_GRIP
513.4398	568.0407	Sigl_WDC_GRIP
526.7442	583.8395	Sigl_WDC_GRIP
534.13794	593.9524	Sigl_WDC_GRIP
553.4706	619.32996	Sigl_WDC_GRIP
659.32324	747.6572	Sigl_WDC_GRIP
673.5012	765.16394	Sigl_WDC_GRIP
701.841	799.7706	Sigl_WDC_GRIP
709.99976	810.3125	Sigl_WDC_GRIP
733.55396	841.3834	Sigl_WDC_GRIP
736.48346	845.08386	Sigl_WDC_GRIP
740.5822	850.7301	Sigl_WDC_GRIP
784.47253	907.3998	Sigl_WDC_GRIP
788.4935	912.8256	Sigl_WDC_GRIP
802.7877	931.28845	Sigl_WDC_GRIP
849.95685	994.85754	Sigl_WDC_GRIP
899.83575	1057.2961	Sigl_WDC_GRIP
931.807	1098.9819	Sigl_WDC_GRIP
966.1077	1143.7565	Sigl_WDC_GRIP
1041.722	1244.02	Sigl_WDC_GRIP
1050.3352	1255.5516	Sigl_WDC_GRIP
1074.6251	1285.7777	Sigl_WDC_GRIP
1100.8826	1317.8323	Sigl_WDC_GRIP
1119.7312	1340.3066	Sigl_WDC_GRIP
1121.4303	1342.235	Sigl_WDC_GRIP
1125.0488	1346.6412	Sigl_WDC_GRIP
1126.6034	1348.8064	Sigl_WDC_GRIP
1130.2767	1353.3916	Sigl_WDC_GRIP
1141.4327	1367.7133	Sigl_WDC_GRIP
1145.1074	1372.6033	Sigl_WDC_GRIP
1153.8562	1383.8218	Sigl_WDC_GRIP
1165.798	1399.3188	Sigl_WDC_GRIP
1182.7148	1421.587	Sigl_WDC_GRIP
1186.5862	1426.5767	Sigl_WDC_GRIP
1192.5775	1433.9701	Sigl_WDC_GRIP
1202.1266	1446.1354	Sigl_WDC_GRIP
1210.3097	1456.9567	Sigl_WDC_GRIP
1215.6667	1463.5116	Sigl_WDC_GRIP
1225.1112	1475.1012	Sigl_WDC_GRIP
1227.296	1477.8752	Sigl_WDC_GRIP
1232.3667	1483.47	Sigl_WDC_GRIP
1234.0825	1485.4048	Sigl_WDC_GRIP
1237.378	1489.2062	Sigl_WDC_GRIP
1252.1018	1505.6184	Sigl_WDC_GRIP
1268.2043	1524.5071	Sigl_WDC_GRIP
1269.4244	1525.9445	Sigl_WDC_GRIP
1340.3931	1607.919	Sigl_WDC_GRIP
1346.81	1614.9736	Sigl_WDC_GRIP
1354.6954	1624.0154	Sigl_WDC_GRIP
1359.5299	1629.4144	Sigl_WDC_GRIP
1362.8712	1633.229	Sigl_WDC_GRIP
1378.8939	1651.124	Sigl_WDC_GRIP
1380.4996	1652.9624	Sigl_WDC_GRIP
1399.8749	1674.9333	Sigl_WDC_GRIP
1404.4261	1679.8826	Sigl_WDC_GRIP
1425.531	1702.9266	Sigl_WDC_GRIP
1452.896	1732.9674	Sigl_WDC_GRIP
1459.9875	1741.2144	Sigl_WDC_GRIP
1489.6915	1775.345	Sigl_WDC_GRIP
1492.8092	1779.3671	Sigl_WDC_GRIP
1509.2411	1799.1902	Sigl_WDC_GRIP
1512.1714	1802.5999	Sigl_WDC_GRIP
1517.3218	1808.8666	Sigl_WDC_GRIP
1528.5948	1822.9694	Sigl_WDC_GRIP
1529.4889	1824.2096	Sigl_WDC_GRIP
1532.7993	1828.5771	Sigl_WDC_GRIP
1536.4926	1833.0356	Sigl_WDC_GRIP
1538.5718	1835.6399	Sigl_WDC_GRIP
1539.0642	1836.3109	Sigl_WDC_GRIP
1540.9186	1838.8472	Sigl_WDC_GRIP
1541.4108	1839.4426	Sigl_WDC_GRIP
1542.5576	1840.9191	Sigl_WDC_GRIP
1544.8939	1844.0787	Sigl_WDC_GRIP
1549.8325	1850.2968	Sigl_WDC_GRIP
1574.6589	1884.1968	Sigl_WDC_GRIP
1575.8278	1885.9464	Sigl_WDC_GRIP
1598.9012	1919.0813	Sigl_WDC_GRIP
1609.4066	1937.6833	Sigl_WDC_GRIP
1615.6246	1948.5011	Sigl_WDC_GRIP
